%%  AutoUniv Version 1 User Guide 

%%  1 About AutoUniv 
%%  AutoUniv (AU) is a tool for creating classification models and generating 
%%  classified examples. 
%%  AU was designed by 
%%  Ray J. Hickey 
%%  E: ray.j.hickey@gmail.com
%%  W: http://sites.google.com/site/autouniv
%%  AU was programmed in Win-Prolog, version 4.9 from Logic Programming 
%%  Associates and makes use of the Prolog compiler and reasoning engine. 

%%  2 Installation 
%%  AU runs under Windows. Around 2GB of memory will be sufficient. Simply 
%%  extract AU.zip. AU does not alter registry settings. 
%%  All files are in the top-level folder. AU consists of four files: au.exe, au.dll, au.ini, 
%%  au.ovl. Two sub-folders exist containing examples of models and of data sets. 
%%  In addition to this User Guide there is also a Reference Manual. 
%%  Memory settings are in au.ini. These have been set to cater for the largest 
%%  models and should not need adjusting. 

%%  3 Running AU 
%%  Run au.exe. This will start the Launcher. From here you can run the two 
%%  applications namely the model builder, Create Model, and the data generator, 
%%  Generate Data. 
%%  The following sections provide a brief description of the use of the model builder 
%%  and data generator. These should be read in conjunction with the more detailed 
%%  account of AU in the Reference Manual. 

%%  4 The model builder tool 
%%  The Build Classification Model dialog is available from the Launcher. Settings 
%%  are made for attributes, classes and rules. The order in which settings are 
%%  entered is controlled. For example, the number of relevant attributes cannot be 
%%  specified until the number of attributes overall is specified. Validity checks 
%%  operate to prevent illegitimate entries. There is also auto completion. 
%%  The Class Distribution Settings dialog is available from the Customise 
%%  Distribution button or these settings can be randomised from the Randomise 
%%  Distributions button. A total weight of 1000 must be distributed across the 
%%  classes to reflect the prominence of each class. Applying Hold to any weight will 
%%  cause it to be retained when randomisation is applied. Minimum and maximum 
%%  values for the majority class probability are set for each class. These are 
%%  expressed as integers up to 1000 subject to a minimum necessary to secure a 
%%  majority class (which is displayed). Randomisation is also available, with hold. 
%%  Selecting Zero Noise followed by randomisation will set minimum and maximum - 2 - 
%%  to 1000 for unheld classes. Illegitimate values will be notified to the user when 
%%  the Apply button is pressed. 
%%  When all build settings have been made the Apply button in the Build 
%%  Classification Model dialog is enabled. When activated, this will enable the Start
%%  button for model building. Progress in the building of the model is echoed in the 
%%  Build Log window. After completion or failure, the model may be rebuilt with or 
%%  without attribute definitions and attribute factorisation being retained. 
%%  Once built, a model may be saved which creates its .aupl, .aurules and 
%%  .auprops files. The .aupl file provides the Prolog source code definition of the 
%%  model. 
%%  A new model may now be built or drift may be applied to the existing model by 
%%  selecting Keep attribute definitions and, possibly, other keep options depending 
%%  on the type of drift required. 
%%  When the user returns to the Launcher, the current build settings are retained. 

%%  5 The data generator tool 
%%  The Generate Data Set from Model dialog is available from the Launcher. Here 
%%  a model is selected and will be compiled into the Prolog system. A file format 
%%  for the examples is selected. The three available formats are CSV, ARFF (for 
%%  WEKA) and C4.5. Examples may be generated with or without header attribute 
%%  information. The latter is useful for appending examples to existing files. 

%%  6 Modification of the .aupl file 
%%  The user can edit the .aupl file for a model in order to manually alter the model 
%%  definition. Caution should be exercised when doing this. It is the user’s 
%%  responsibility to ensure the logical integrity and syntactic correctness of any 
%%  alterations. Logical flaws will cause the data generator to crash. In this situation, 
%%  the system should be exited and restarted. Syntax errors will produce a Prolog 
%%  compiler error message. 

@relation autoUniv-au4-2500

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 {v1,v2,v3,v4,v5,v6}
@attribute V4 {v1,v2,v3,v4}
@attribute V5 numeric
@attribute V6 {v1,v2,v3}
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 {v1,v2,v3,v4}
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 {v1,v2,v3}
@attribute V13 {v1,v2}
@attribute V14 {v1,v2,v3,v4,v5}
@attribute V15 {v1,v2,v3,v4,v5,v6}
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 {v1,v2}
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 {v1,v2,v3,v4}
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {v1,v2}
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 {v1,v2,v3,v4,v5,v6}
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 {v1,v2,v3,v4,v5}
@attribute V38 {v1,v2,v3,v4}
@attribute V39 {v1,v2,v3,v4,v5}
@attribute V40 {v1,v2}
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 {v1,v2,v3,v4,v5}
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 {v1,v2,v3,v4,v5,v6}
@attribute V48 {v1,v2,v3}
@attribute V49 {v1,v2,v3,v4,v5,v6}
@attribute V50 numeric
@attribute V51 {v1,v2,v3,v4,v5}
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 {v1,v2,v3,v4,v5}
@attribute V56 {v1,v2,v3,v4,v5}
@attribute V57 {v1,v2,v3}
@attribute V58 {v1,v2,v3}
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 {v1,v2,v3,v4,v5}
@attribute V65 numeric
@attribute V66 {v1,v2}
@attribute V67 numeric
@attribute V68 {v1,v2,v3,v4,v5}
@attribute V69 {v1,v2,v3,v4}
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 {v1,v2,v3,v4,v5}
@attribute V80 numeric
@attribute V81 {v1,v2,v3,v4}
@attribute V82 numeric
@attribute V83 {v1,v2,v3}
@attribute V84 {v1,v2}
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 {v1,v2,v3,v4,v5,v6}
@attribute V90 {v1,v2,v3}
@attribute V91 numeric
@attribute V92 {v1,v2}
@attribute V93 {v1,v2}
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 {v1,v2,v3,v4,v5}
@attribute V97 {v1,v2,v3}
@attribute V98 {v1,v2,v3,v4,v5,v6}
@attribute V99 {v1,v2}
@attribute V100 {v1,v2,v3,v4,v5}
@attribute Class {class1,class2,class3}

@data
1,3,v6,v1,0.47,v3,0,2,v4,2,77706,v3,v1,v5,v4,0.48,876,35.2,v2,39,71.8,0.815,193,1,v1,0,401,2,0.942,861,v2,0.614,660,v4,6653,0.156,v1,v1,v4,v2,1,6010,4,v5,7.29,0,v4,v2,v4,2,v2,2,6.62,1,v4,v1,v1,v2,72826,5955,37.4,0,61,v3,2,v2,20035,v2,v1,5.57,2,7137,0.39,4197,2,68,83.7,1,v1,1,v3,6.72,v2,v2,44.5,7.92,2,489,v5,v1,2,v1,v1,0,5542,v1,v1,v1,v2,v4,class2
1,3,v3,v4,0.36,v1,0,3,v1,2,86275,v3,v1,v5,v6,0.53,596,31.2,v1,46,79.2,0.938,198,1,v3,0,391,4,0.916,880,v1,0.609,645,v3,4180,0.731,v2,v1,v4,v1,1,5977,3,v1,7.31,2,v1,v1,v3,1,v3,1,6.88,1,v1,v1,v3,v1,54676,6797,69.1,1,30.5,v4,2,v2,20218,v3,v4,6.93,2,6142,0.67,2285,0,81,80.5,0,v1,1,v4,5.67,v3,v1,55.3,6.92,1,443,v1,v3,0,v1,v1,1,5426,v1,v2,v6,v2,v4,class3
0,2,v5,v1,0.05,v3,0,2,v4,3,56059,v3,v1,v3,v1,0.44,531,31.7,v2,32,77.8,0.927,234,4,v3,0,444,3,0.935,832,v2,0.476,601,v5,4411,0.373,v4,v1,v5,v2,0,6493,4,v1,7.75,0,v5,v1,v3,0,v3,0,4.18,1,v5,v1,v2,v2,54889,6721,52.3,0,30.8,v5,1,v1,16082,v3,v2,6.98,2,7021,0.69,6261,2,69,79.1,4,v5,1,v2,6.63,v2,v1,45.8,7.43,3,471,v3,v2,1,v1,v2,1,5562,v1,v2,v1,v2,v4,class2
0,3,v6,v3,0.06,v1,0,0,v4,3,30844,v2,v1,v5,v6,0.28,828,36.6,v1,42,71.8,0.927,266,4,v3,1,402,1,0.943,553,v2,0.593,650,v2,6507,0.356,v1,v4,v1,v2,3,6402,3,v3,7.29,0,v1,v1,v5,2,v3,1,4.58,0,v3,v1,v3,v1,65923,6914,41.3,1,60.7,v2,2,v1,17030,v1,v4,6.74,3,5874,0.15,4164,1,92,82.2,2,v2,0,v1,6.65,v2,v1,58.4,7.92,3,625,v5,v3,2,v1,v1,0,5600,v1,v2,v6,v2,v3,class1
1,1,v2,v2,0.04,v1,0,2,v2,0,47318,v3,v1,v4,v6,0.56,743,33.4,v2,30,71.5,0.83,269,4,v3,1,408,0,0.927,857,v1,0.621,625,v5,4056,0.779,v2,v2,v5,v1,3,6249,3,v1,8.07,2,v2,v1,v1,0,v3,3,4.99,1,v3,v5,v3,v2,53503,5695,73.3,0,38.7,v2,2,v1,18595,v3,v3,7,2,6070,0.45,2707,0,71,83.6,3,v1,1,v4,3.63,v1,v2,44,7.53,2,535,v1,v2,2,v2,v1,1,5556,v2,v2,v4,v2,v1,class3
1,1,v5,v1,0.37,v3,0,3,v1,2,36946,v3,v2,v2,v3,0.21,889,31,v1,58,70.6,0.816,278,0,v4,0,462,1,0.933,880,v2,0.64,651,v2,4044,0.317,v4,v1,v4,v2,1,7307,4,v5,7.68,3,v6,v2,v1,0,v3,1,3.87,0,v5,v3,v2,v3,41419,7015,39.3,0,60.5,v4,2,v1,20837,v1,v4,7.5,2,6356,0.7,2532,2,68,79.3,5,v1,0,v3,4.11,v2,v2,46.6,7.24,1,366,v4,v2,1,v2,v2,1,5993,v3,v2,v6,v1,v4,class2
1,0,v5,v4,0.4,v1,0,0,v4,1,46643,v2,v2,v5,v3,0.2,503,37.2,v2,32,70.6,0.899,242,0,v3,1,454,0,0.939,877,v1,0.58,650,v6,6597,0.212,v1,v1,v4,v2,1,7154,2,v3,7.5,3,v3,v2,v1,1,v2,1,7.05,1,v2,v4,v1,v1,46728,6442,53.5,1,60.9,v5,0,v2,17350,v4,v4,5.57,2,6582,0.29,2773,0,75,79.6,2,v2,1,v1,5.81,v3,v1,44.3,7.48,0,494,v4,v2,2,v2,v1,1,5166,v1,v1,v1,v2,v5,class2
0,1,v6,v3,0.22,v1,1,2,v2,2,71942,v3,v1,v2,v2,0.17,795,37.2,v2,42,78.1,0.956,223,2,v4,1,423,4,0.918,881,v2,0.444,609,v4,4138,0.457,v2,v2,v5,v2,2,6339,4,v4,7.92,2,v6,v3,v6,0,v5,1,3.99,0,v3,v2,v2,v1,54035,5982,26.9,1,30.8,v4,1,v1,16806,v2,v1,6.85,3,6780,0.31,2915,2,89,79.7,0,v1,0,v2,5.43,v1,v2,45.9,4.73,1,896,v3,v3,2,v2,v1,0,5102,v4,v2,v1,v1,v3,class1
0,0,v3,v4,0.13,v2,1,3,v4,3,82415,v1,v1,v5,v2,0.16,874,35.5,v1,39,84.8,0.895,273,3,v2,1,467,0,0.91,822,v2,0.635,648,v3,5221,0.342,v4,v2,v2,v1,3,6216,2,v2,8.26,2,v4,v1,v3,1,v5,3,4.95,0,v1,v4,v2,v3,66561,6897,40.6,1,58.7,v2,0,v1,20722,v3,v3,5.57,2,5952,0.23,6199,2,82,81.2,4,v2,1,v1,4.09,v1,v1,45.7,4.16,0,376,v5,v3,1,v2,v1,0,5541,v1,v1,v5,v2,v1,class2
1,3,v6,v2,0.21,v3,1,1,v3,3,96537,v2,v2,v1,v5,0.34,839,33.1,v2,66,80.9,0.901,224,3,v2,0,294,1,0.921,881,v1,0.449,656,v1,5025,0.17,v4,v1,v1,v1,3,6260,3,v5,7.97,3,v6,v2,v2,2,v4,3,3.66,0,v1,v5,v1,v2,64402,6281,21.5,0,30.5,v4,0,v1,22186,v4,v2,5.58,3,6699,0.56,2723,1,75,79.5,3,v3,0,v3,4.06,v3,v1,58.2,5.27,1,440,v3,v3,0,v2,v2,1,5512,v2,v1,v3,v2,v2,class1
0,0,v4,v2,0.11,v2,1,0,v3,0,71943,v1,v2,v2,v4,0.2,526,32.1,v1,54,78.9,0.834,252,0,v2,0,458,4,0.931,754,v1,0.599,655,v4,3977,0.51,v2,v3,v5,v1,2,5485,0,v1,8.71,0,v2,v3,v2,1,v4,3,6.75,1,v3,v3,v1,v2,54411,6275,50.5,0,30.7,v3,0,v1,16082,v3,v1,6.3,0,6480,0.51,6088,0,93,83.3,4,v2,0,v2,5.43,v3,v1,45.2,3.72,0,472,v6,v1,2,v1,v2,1,5633,v2,v1,v3,v2,v5,class1
0,2,v6,v2,0.06,v1,0,1,v1,1,72047,v3,v2,v5,v2,0.3,458,37.1,v1,28,77.3,0.838,201,2,v2,0,413,3,0.938,743,v1,0.634,630,v1,6740,0.176,v1,v4,v3,v1,1,6240,2,v1,7.9,2,v2,v3,v1,2,v4,0,3.7,1,v3,v3,v1,v1,43916,7115,45.5,0,30.1,v3,2,v2,19026,v1,v1,5.58,1,6563,0.6,2643,0,90,79.4,2,v2,0,v2,5.94,v1,v2,61.6,3.5,1,813,v6,v3,0,v2,v1,1,5560,v4,v3,v1,v2,v2,class2
0,1,v4,v1,0.25,v2,0,2,v3,2,94586,v3,v1,v5,v6,0.18,582,32,v2,64,81,0.957,250,1,v2,1,463,2,0.935,571,v1,0.635,618,v3,4056,0.171,v4,v2,v1,v2,3,6921,0,v4,7.64,0,v3,v1,v1,2,v4,3,6.85,1,v4,v3,v3,v2,49017,6216,47.8,1,29.2,v1,2,v2,14802,v4,v2,5.77,2,6537,0.53,6423,1,65,79.2,3,v4,0,v4,4.57,v2,v2,60.1,7.36,2,422,v1,v2,1,v2,v2,0,6170,v3,v3,v3,v1,v3,class1
0,4,v6,v2,0.49,v1,0,1,v4,0,53757,v3,v2,v3,v3,0.28,789,31.3,v2,42,70.3,0.953,227,4,v4,0,311,3,0.909,879,v2,0.658,656,v4,4043,0.512,v4,v4,v4,v2,1,6682,0,v4,7.34,3,v5,v2,v4,0,v5,0,6.93,1,v4,v2,v3,v1,52793,5645,49.2,0,36.2,v3,1,v2,19583,v3,v4,6.97,3,7360,0.41,7931,2,74,81,3,v4,1,v4,3.63,v1,v2,46.2,4.36,0,494,v4,v1,2,v1,v1,0,6095,v4,v1,v3,v1,v3,class1
1,0,v3,v3,0.21,v2,0,1,v2,2,48489,v1,v1,v2,v1,0.25,849,37.1,v1,37,69,0.932,218,1,v2,0,442,4,0.926,724,v2,0.446,647,v6,4052,0.543,v5,v3,v3,v2,2,7319,1,v5,7.4,2,v4,v2,v6,0,v5,2,6.87,0,v1,v4,v3,v1,54835,5709,51.2,1,34.3,v4,2,v1,18448,v5,v2,6.56,3,6864,0.15,6818,0,80,84.5,4,v5,0,v4,5.95,v3,v1,44.2,3.6,2,531,v3,v2,0,v1,v2,1,5525,v3,v2,v3,v2,v3,class1
0,2,v2,v4,0.09,v2,1,2,v2,2,71941,v1,v2,v3,v2,0.41,346,31.3,v1,57,73.3,0.889,239,4,v4,1,474,1,0.928,756,v2,0.614,660,v5,5884,0.184,v2,v1,v3,v1,2,6402,0,v5,7.29,1,v5,v3,v1,0,v3,2,6.81,1,v2,v2,v2,v1,46553,6331,45.5,1,43.6,v1,2,v2,16089,v1,v1,6.95,1,6637,0.18,6146,0,78,82.7,2,v5,1,v4,6.09,v1,v2,45,7.7,1,472,v1,v1,1,v1,v2,0,5850,v3,v1,v3,v1,v5,class2
1,2,v2,v3,0.06,v2,0,0,v3,3,72243,v2,v1,v1,v2,0.53,776,33.5,v1,51,84,0.899,268,2,v4,1,393,0,0.916,638,v1,0.631,660,v3,4040,0.19,v3,v4,v3,v1,2,6202,2,v2,7.31,3,v1,v1,v4,2,v1,0,5.82,0,v5,v1,v3,v1,54446,6469,44.1,0,60.8,v2,0,v1,19893,v5,v2,6.69,0,6358,0.32,2362,2,68,80.8,1,v1,1,v4,6.54,v2,v1,47.2,3.85,3,467,v3,v2,0,v2,v2,1,5757,v2,v2,v6,v2,v4,class2
0,4,v2,v4,0.04,v3,0,2,v1,1,56282,v1,v2,v1,v6,0.29,882,30.4,v1,51,74,0.819,261,3,v3,0,326,2,0.936,713,v1,0.462,605,v1,3977,0.617,v5,v2,v3,v2,2,7376,3,v5,7.9,2,v2,v2,v4,0,v4,3,4.86,0,v2,v4,v1,v2,54524,6357,31.2,0,56.2,v3,0,v2,19301,v1,v4,6.64,3,6509,0.15,2822,1,79,84.2,5,v3,0,v2,5.66,v3,v2,43.9,6.02,1,445,v4,v2,0,v1,v2,1,6025,v2,v2,v1,v1,v1,class1
1,3,v1,v2,0.37,v2,0,1,v2,2,65940,v2,v2,v2,v1,0.21,620,33.4,v1,29,66,0.938,186,1,v2,1,314,0,0.939,572,v1,0.61,658,v1,4042,0.688,v5,v1,v4,v2,0,7380,2,v1,7.84,2,v4,v2,v6,0,v5,2,3.92,0,v1,v1,v2,v2,53140,5683,50.6,0,35.5,v5,0,v1,19805,v4,v3,5.57,0,6997,0.15,2742,1,65,82.5,4,v5,1,v3,4,v3,v1,46.1,4.55,3,483,v1,v2,0,v2,v2,1,5869,v4,v3,v2,v2,v1,class1
1,2,v6,v4,0.05,v3,0,3,v4,3,72184,v3,v1,v4,v4,0.31,817,25.4,v1,50,66.4,0.862,252,3,v1,0,433,0,0.943,859,v1,0.616,599,v5,5214,0.536,v5,v2,v2,v1,0,7141,2,v3,7.94,3,v2,v1,v5,0,v1,0,4.47,0,v4,v2,v1,v3,48019,6247,38.2,0,34.3,v1,1,v1,19981,v2,v3,6.49,3,5826,0.15,3091,1,69,79.3,0,v4,0,v3,3.65,v2,v2,44.2,6.31,0,494,v6,v1,1,v2,v2,1,6141,v5,v3,v3,v1,v1,class1
0,1,v2,v4,0.33,v2,1,3,v1,3,36398,v2,v2,v4,v1,0.28,373,34.7,v2,48,83.4,0.83,250,3,v3,0,434,0,0.93,621,v1,0.637,651,v2,5207,0.357,v5,v2,v2,v1,1,5379,2,v4,7.31,3,v2,v3,v5,0,v1,2,6.95,0,v2,v1,v2,v3,58529,6305,21.7,1,31.2,v1,0,v1,18063,v5,v2,6.74,0,6841,0.74,2380,1,92,79.1,1,v5,1,v1,5.41,v1,v1,45.3,6.95,2,673,v2,v2,0,v1,v2,0,6140,v2,v2,v6,v1,v4,class3
0,0,v2,v3,0.04,v1,1,0,v1,2,40150,v2,v2,v5,v1,0.14,796,25.8,v2,41,82.3,0.862,268,1,v3,1,349,4,0.936,706,v2,0.618,643,v3,6772,0.137,v2,v1,v5,v1,1,7352,1,v2,8.16,0,v1,v3,v5,2,v4,0,5.48,1,v3,v1,v1,v2,54587,5955,84.8,0,30.8,v2,2,v1,14273,v2,v1,5.57,0,5787,0.64,6996,1,73,79,2,v4,1,v2,3.83,v1,v2,54.6,3.73,2,472,v4,v2,1,v1,v1,0,5674,v3,v3,v4,v1,v2,class1
0,3,v1,v2,0.45,v3,0,1,v2,1,39014,v2,v2,v1,v2,0.47,525,33.1,v2,54,66.2,0.855,277,1,v4,1,486,2,0.933,854,v2,0.625,615,v4,5040,0.314,v2,v3,v1,v1,0,5719,0,v4,7.78,3,v2,v2,v1,1,v3,0,4.73,0,v4,v2,v3,v1,54231,5866,66.2,0,42.1,v3,1,v1,20375,v2,v2,6.74,2,7355,0.67,5440,2,69,80.4,3,v2,1,v4,5.42,v1,v2,46.9,4.27,0,444,v5,v1,1,v2,v2,0,5805,v3,v3,v3,v2,v2,class3
0,1,v4,v2,0.34,v3,1,2,v2,0,35869,v1,v1,v1,v3,0.17,519,33.4,v1,66,67.2,0.843,220,4,v1,1,438,4,0.92,818,v1,0.6,623,v1,5277,0.143,v4,v2,v3,v1,3,6965,4,v1,7.74,3,v2,v3,v5,0,v1,2,4.31,1,v3,v3,v3,v2,47217,6362,16.7,1,30.1,v4,0,v1,19992,v2,v2,6.71,1,6329,0.59,2367,2,77,83.4,3,v3,1,v4,6.97,v2,v2,43.8,7.83,1,471,v6,v2,2,v1,v2,1,5539,v2,v2,v6,v1,v5,class1
1,1,v1,v1,0.49,v1,1,1,v1,3,48287,v2,v1,v5,v3,0.4,878,28.2,v1,36,78.6,0.852,213,1,v2,1,346,2,0.933,656,v2,0.647,649,v1,5060,0.772,v4,v2,v3,v1,1,5499,3,v4,7.77,0,v6,v1,v2,2,v1,1,4.84,0,v2,v3,v2,v1,53610,5810,57.7,1,47.9,v4,1,v2,15278,v4,v2,6.87,2,5921,0.38,6111,2,79,79.3,0,v4,0,v3,3.34,v1,v1,43.8,6.75,1,366,v6,v3,1,v1,v2,1,5540,v1,v1,v4,v1,v5,class2
0,0,v2,v1,0.21,v1,1,2,v4,2,72107,v1,v1,v5,v1,0.39,858,26.4,v1,50,76.6,0.944,186,3,v2,0,472,0,0.911,738,v1,0.593,656,v2,5290,0.478,v1,v2,v2,v1,1,6058,2,v5,7.83,0,v2,v2,v4,0,v1,2,4.48,1,v1,v4,v1,v1,58670,6348,52.9,1,33.8,v5,2,v1,13699,v3,v4,6.64,2,6999,0.57,4429,0,74,81.5,4,v5,1,v4,6.46,v2,v2,47,6.18,2,443,v4,v2,2,v1,v1,1,5580,v3,v3,v5,v2,v3,class2
0,3,v6,v2,0.14,v3,1,3,v2,2,78799,v1,v2,v1,v2,0.25,406,34.5,v2,49,76.7,0.815,265,4,v1,0,481,2,0.94,554,v1,0.589,611,v4,5195,0.162,v4,v3,v3,v1,2,7266,4,v3,7.45,2,v6,v2,v4,1,v4,0,6.87,0,v4,v1,v3,v3,52488,6288,54.9,0,33,v2,1,v2,22799,v5,v2,6.84,1,6286,0.64,3214,0,85,79.2,0,v4,0,v1,4.09,v3,v2,46.7,4.56,0,805,v3,v3,2,v2,v2,0,5684,v3,v3,v5,v1,v5,class2
0,4,v3,v2,0.06,v3,0,0,v1,3,71929,v1,v2,v1,v1,0.3,334,31,v1,52,80.2,0.847,262,1,v2,1,449,4,0.927,793,v2,0.453,592,v2,5064,0.168,v3,v1,v2,v2,2,6176,4,v4,8.03,1,v2,v3,v1,0,v4,3,6.18,1,v3,v3,v3,v2,52884,6418,46.8,1,30,v4,1,v1,16089,v5,v1,6.56,3,6138,0.72,4820,0,63,79.6,0,v2,0,v1,5.42,v3,v2,46,3.91,0,685,v6,v1,2,v1,v1,1,5416,v5,v1,v3,v2,v2,class1
0,1,v3,v3,0.06,v1,0,0,v1,1,92113,v1,v1,v1,v3,0.3,452,30.2,v1,50,72.5,0.831,233,0,v3,1,427,1,0.926,712,v1,0.611,657,v6,6259,0.756,v2,v3,v3,v2,3,6171,3,v3,8.27,0,v1,v1,v3,1,v4,2,5.39,0,v1,v5,v2,v2,49142,6289,63.6,1,58.5,v3,1,v1,19980,v5,v4,6.28,0,6900,0.26,2314,2,93,83.4,5,v3,0,v1,3.68,v1,v2,46.1,3.76,0,831,v4,v2,1,v1,v1,1,5853,v1,v1,v2,v2,v3,class3
0,0,v6,v1,0.07,v2,1,2,v1,1,35471,v2,v2,v3,v3,0.44,837,34,v2,27,73.2,0.846,195,2,v1,1,476,3,0.943,673,v1,0.576,631,v1,4056,0.388,v2,v4,v3,v1,0,7375,1,v1,7.91,3,v3,v1,v4,1,v5,1,4.42,0,v5,v1,v1,v2,65584,5944,50.3,0,34.1,v4,0,v2,19140,v1,v3,6.87,1,5876,0.34,3270,1,67,81,4,v4,1,v4,5.41,v2,v1,46.7,4.49,3,465,v1,v2,2,v1,v2,0,5088,v5,v2,v1,v1,v3,class2
1,0,v4,v2,0.31,v2,0,3,v4,2,72204,v2,v2,v1,v6,0.49,404,31.6,v2,40,68.6,0.805,185,2,v2,1,319,0,0.94,591,v1,0.628,648,v5,4076,0.34,v4,v2,v4,v2,3,6452,1,v2,7.55,1,v1,v1,v6,1,v3,2,3.81,0,v5,v4,v1,v1,52088,6326,39.3,1,30,v4,2,v2,20238,v4,v1,6.66,0,6987,0.48,3866,2,74,82.3,1,v3,0,v3,5.43,v2,v2,50.2,4.48,2,484,v1,v1,1,v1,v1,0,5675,v2,v2,v6,v1,v4,class2
0,2,v5,v3,0.35,v3,0,2,v4,3,30630,v2,v2,v3,v2,0.33,866,28.7,v1,47,72.4,0.939,221,4,v3,1,460,1,0.916,689,v1,0.619,657,v6,6681,0.337,v5,v3,v4,v2,3,5504,0,v3,8.62,1,v6,v3,v6,1,v2,1,4.35,1,v1,v1,v1,v1,42822,5726,51.6,1,39.4,v4,2,v1,23023,v1,v4,7,3,6818,0.74,5866,2,75,83.5,4,v4,0,v4,6.26,v1,v1,56.6,3.98,2,571,v1,v3,1,v1,v2,1,5567,v5,v1,v2,v2,v4,class1
0,3,v2,v4,0.15,v3,0,1,v4,3,71924,v2,v2,v5,v1,0.53,281,31.1,v2,34,81.3,0.898,253,2,v3,0,282,1,0.934,860,v1,0.452,660,v1,5188,0.486,v1,v2,v2,v1,3,5484,3,v3,7.76,2,v4,v1,v6,2,v1,2,4.91,0,v5,v5,v2,v3,50129,6762,39,0,32.4,v2,2,v2,17066,v1,v4,7.08,3,7363,0.15,2878,0,68,79.5,1,v4,1,v4,3.57,v3,v2,46,7.72,1,437,v2,v3,0,v2,v1,1,6142,v3,v1,v5,v1,v1,class2
1,2,v1,v2,0.36,v2,0,3,v4,1,71923,v2,v2,v5,v1,0.46,280,27.2,v1,38,72.1,0.94,246,3,v2,0,456,3,0.941,558,v1,0.629,639,v2,4042,0.472,v3,v2,v3,v2,1,6868,1,v3,8.8,3,v4,v2,v4,2,v5,3,7.28,1,v1,v1,v2,v1,43782,7094,45.4,0,34.2,v4,0,v2,17723,v5,v1,5.58,2,7359,0.21,5539,1,89,80.2,5,v2,0,v3,5.56,v2,v2,46.6,7.75,3,455,v2,v3,0,v2,v1,0,6006,v1,v3,v3,v2,v4,class1
0,0,v3,v1,0.49,v3,1,3,v3,3,72062,v3,v1,v3,v1,0.36,422,37.1,v1,59,73.3,0.921,199,4,v4,0,318,0,0.931,768,v2,0.615,620,v2,5299,0.585,v1,v3,v1,v1,1,7275,0,v1,7.37,0,v3,v1,v5,2,v4,2,5.51,1,v1,v5,v3,v2,47130,6761,86.5,0,30.7,v3,2,v2,20272,v3,v4,5.58,0,7352,0.33,7080,0,69,80.6,1,v1,1,v3,4.12,v2,v1,44.3,7.97,1,437,v1,v3,2,v1,v2,0,6131,v3,v1,v6,v2,v4,class1
0,1,v6,v2,0.44,v2,1,3,v3,2,37396,v1,v2,v1,v3,0.42,638,37.1,v2,40,83.3,0.909,254,2,v1,0,293,0,0.943,836,v2,0.627,659,v1,3981,0.778,v2,v2,v2,v2,0,6212,2,v4,7.31,0,v4,v3,v2,1,v4,3,6.93,0,v3,v4,v3,v3,53558,6629,66.4,1,60.9,v5,1,v1,20998,v4,v1,5.58,3,6586,0.15,4053,1,78,81.1,5,v1,0,v4,5.41,v2,v1,62.5,4.5,2,888,v2,v3,0,v1,v2,0,5396,v2,v2,v2,v2,v2,class1
0,1,v4,v4,0.25,v2,0,3,v2,2,72164,v2,v1,v5,v3,0.27,428,24.3,v1,58,78.7,0.921,211,2,v3,1,447,3,0.93,858,v1,0.599,652,v6,3980,0.171,v5,v4,v4,v1,0,6338,0,v5,8.4,0,v2,v1,v2,1,v5,3,7.23,0,v1,v3,v3,v1,49814,6296,13.1,1,29.3,v3,2,v1,17600,v1,v4,6.87,3,6549,0.32,5844,0,73,79,3,v4,1,v1,6.61,v2,v2,47.2,7.87,2,471,v6,v2,2,v1,v2,1,5575,v1,v3,v4,v2,v3,class2
