@relation R_data_frame

@attribute V1 {1,2,3,4,5}
@attribute V2 {1,2,3,4,5}
@attribute V3 {1,2,3,4}
@attribute V4 {1,2,3,4}
@attribute V5 {1,2,3,4}
@attribute V6 {1,2,3,4}
@attribute V7 {1,2,3,4}
@attribute V8 {1,2,3,4}
@attribute V9 {1,2,3,4}
@attribute V10 {1,2,3,4}
@attribute V11 {1,2,3,4}
@attribute V12 {1,2,3,4}
@attribute V13 {1,2,3,4}
@attribute V14 {1,2,3,4,5}
@attribute V15 {1,2,3,4}
@attribute V16 {1,2,3,4}
@attribute V17 {1,2,3,4}
@attribute V18 {1,2,3,4}
@attribute V19 {1,2,3,4,5}
@attribute V20 {1,2,3,4,5}
@attribute V21 {1,2,3,4,5}
@attribute V22 {1,2,3,4,5}
@attribute V23 {1,2,3,4,5}
@attribute V24 {1,2,3,4,5}
@attribute V25 {1,2,3,4,5}
@attribute V26 {1,2,3,4,5}
@attribute V27 {1,2,3,4,5}
@attribute V28 {1,2,3,4,5}
@attribute V29 {1,2,3,4,5}
@attribute V30 {1,2,3,4,5}
@attribute V31 {1,2,3,4,5}
@attribute V32 {1,2,3,4,5}
@attribute V33 {1,2,3,4,5}
@attribute V34 {1,2,3,4,5}
@attribute V35 {1,2,3,4,5,6}
@attribute V36 {1,2,3,4,5,6}
@attribute V37 {1,2,3,4,5}
@attribute V38 {1,2,3,4,5}
@attribute V39 {1,2,3,4,5}
@attribute V40 {1,2,3,4,5}
@attribute V41 {1,2,3,4,5}
@attribute V42 {1,2,3,4,5}
@attribute V43 {1,2,3,4,5}
@attribute V44 {1,2,3,4,5}
@attribute V45 {1,2,3,4,5}
@attribute V46 {1,2,3,4,5}
@attribute V47 {1,2,3,4,5}
@attribute V48 {1,2,3,4,5}
@attribute V49 {1,2,3,4,5}
@attribute V50 {1,2,3,4,5}
@attribute V51 {1,2,3,4,5}
@attribute V52 {1,2,3,4,5}
@attribute V53 {1,2,3,4,5}
@attribute V54 {1,2,3,4,5}
@attribute V55 {1,2,3,4,5}
@attribute V56 {1,2,3,4,5}
@attribute V57 {1,2,3,4,5}
@attribute V58 {1,2,3,4,5}
@attribute V59 {1,2,3,4,5}
@attribute V60 {1,2,3,4,5}
@attribute Class {1,2,3}

@data
5,5,1,4,2,4,4,4,2,4,3,1,2,5,2,4,1,1,3,5,3,3,2,1,5,5,2,1,1,3,3,5,1,1,3,3,1,1,2,1,5,2,1,1,1,3,3,1,5,1,2,5,5,1,1,5,5,5,3,5,1
1,1,3,2,2,1,1,4,4,4,4,3,4,2,2,1,2,3,5,3,5,5,3,1,3,1,5,2,1,5,3,5,3,1,3,6,3,1,1,1,5,2,2,2,1,5,2,5,3,1,5,5,1,5,2,1,2,5,5,2,1
4,1,1,4,4,4,1,2,4,3,1,1,1,3,2,1,3,4,5,1,3,2,1,1,3,3,1,1,1,3,3,5,1,3,3,6,5,5,3,2,5,3,5,5,3,2,2,5,3,2,1,3,2,2,3,1,1,5,5,3,1
4,1,4,4,2,4,2,4,4,2,1,3,2,2,1,1,4,2,5,5,2,1,5,5,3,2,5,2,1,1,3,5,1,5,3,1,2,5,5,5,1,1,5,2,5,5,2,2,5,5,1,2,1,1,2,5,1,3,3,5,1
4,2,4,2,3,2,2,1,3,4,3,1,1,1,4,3,1,4,3,3,2,5,5,1,5,5,1,2,1,3,3,5,2,1,3,6,3,3,1,3,1,2,3,2,5,3,1,3,1,2,2,1,3,5,1,1,2,1,5,3,1
5,5,4,3,1,1,3,2,4,3,1,4,3,3,2,2,2,4,1,1,1,2,1,3,1,5,3,1,1,3,3,5,1,1,3,1,2,5,1,5,3,3,3,5,5,5,1,1,2,5,2,2,2,1,1,2,2,2,1,1,1
4,2,1,2,2,4,4,2,4,4,4,2,2,2,4,4,2,1,5,2,5,5,5,3,1,1,3,1,1,3,3,5,1,3,6,6,1,3,2,2,1,1,3,1,3,2,1,3,3,2,1,3,5,1,3,1,5,2,5,2,1
1,2,2,4,2,2,1,3,3,3,1,2,1,3,3,1,4,1,5,3,3,1,3,2,1,1,2,1,1,3,3,5,1,1,1,6,3,3,1,1,1,2,1,5,2,2,5,3,3,5,5,5,2,2,2,5,3,2,2,5,1
1,1,1,3,1,4,3,1,4,1,1,3,2,2,2,1,2,4,2,5,1,2,1,3,2,5,3,3,1,3,3,5,1,1,3,6,3,1,1,5,3,2,5,1,5,3,3,1,1,5,3,1,1,3,2,2,2,5,5,2,1
4,1,4,4,4,1,2,1,3,1,4,3,1,5,4,4,4,3,1,1,5,3,3,1,1,5,5,1,1,5,3,5,1,1,3,6,1,5,1,5,5,5,2,2,5,5,5,2,5,5,1,2,5,1,1,1,1,5,5,1,1
2,5,2,1,2,1,4,4,4,1,1,3,4,5,4,4,1,2,1,5,3,2,2,2,1,1,3,1,1,3,3,5,1,1,3,6,1,2,1,1,5,1,5,5,5,5,1,5,3,5,5,2,1,1,5,5,5,2,5,3,1
1,1,4,1,4,2,1,1,2,3,4,1,1,5,1,3,4,4,2,5,3,3,1,1,2,5,1,1,1,3,3,5,1,1,3,3,2,1,5,5,1,2,5,5,5,1,5,5,5,3,2,5,2,5,2,2,5,3,3,1,1
4,1,4,4,4,1,2,1,3,1,4,3,1,5,4,4,4,3,1,1,5,3,3,1,1,5,5,1,1,5,3,5,1,1,3,6,1,5,1,5,5,5,2,2,5,5,5,2,5,5,1,2,5,1,1,1,1,5,5,1,1
2,5,2,1,2,1,4,4,4,1,1,3,4,5,4,4,1,2,1,5,3,2,2,2,1,1,3,1,1,3,3,5,1,1,3,6,1,2,1,1,5,1,5,5,5,5,1,5,3,5,5,2,1,1,5,5,5,2,5,3,1
1,1,4,1,4,2,1,1,2,3,4,1,1,5,1,3,4,4,2,5,3,3,1,1,2,5,1,1,1,3,3,5,1,1,3,3,2,1,5,5,1,2,5,5,5,1,5,5,5,3,2,5,2,5,2,2,5,3,3,1,1
4,1,4,4,4,1,2,1,3,1,4,3,1,5,4,4,4,3,1,1,5,3,3,1,1,5,5,1,1,5,3,5,1,1,3,6,1,5,1,5,5,5,2,2,5,5,5,2,5,5,1,2,5,1,1,1,1,5,5,1,1
2,5,2,1,2,1,4,4,4,1,1,3,4,5,4,4,1,2,1,5,3,2,2,2,1,1,3,1,1,3,3,5,1,1,3,6,1,2,1,1,5,1,5,5,5,5,1,5,3,5,5,2,1,1,5,5,5,2,5,3,1
1,1,4,1,4,2,1,1,2,3,4,1,1,5,1,3,4,4,2,5,3,3,1,1,2,5,1,1,1,3,3,5,1,1,3,3,2,1,5,5,1,2,5,5,5,1,5,5,5,3,2,5,2,5,2,2,5,3,3,1,1
1,2,4,2,1,4,2,3,1,1,2,4,2,5,3,2,4,3,1,5,1,3,2,2,1,1,5,3,1,3,3,5,1,1,6,6,5,5,2,5,5,5,1,5,3,1,5,5,2,2,5,1,2,1,3,5,2,5,3,5,1
2,5,3,1,3,3,1,4,4,2,2,4,3,5,4,2,2,4,3,5,1,2,1,5,1,1,1,1,1,5,3,5,1,1,3,6,5,1,1,1,5,5,1,5,3,1,5,5,2,1,3,5,1,1,1,1,5,3,1,5,1
5,5,1,1,4,1,1,1,3,1,1,1,4,1,2,1,4,4,3,1,2,3,3,2,2,1,1,1,1,1,3,5,1,1,3,6,5,1,2,1,2,1,2,1,5,5,2,1,1,5,3,3,1,1,3,2,5,1,5,1,1
1,2,4,2,1,4,2,3,1,1,2,4,2,5,3,2,4,3,1,5,1,3,2,2,1,1,5,3,1,3,3,5,1,1,6,6,5,5,2,5,5,5,1,5,3,1,5,5,2,2,5,1,2,1,3,5,2,5,3,5,1
2,5,3,1,3,3,1,4,4,2,2,4,3,5,4,2,2,4,3,5,1,2,1,5,1,1,1,1,1,5,3,5,1,1,3,6,5,1,1,1,5,5,1,5,3,1,5,5,2,1,3,5,1,1,1,1,5,3,1,5,1
5,5,1,1,4,1,1,1,3,1,1,1,4,1,2,1,4,4,3,1,2,3,3,2,2,1,1,1,1,1,3,5,1,1,3,6,5,1,2,1,2,1,2,1,5,5,2,1,1,5,3,3,1,1,3,2,5,1,5,1,1
2,2,3,2,4,3,2,3,3,3,4,1,2,5,1,1,3,1,3,2,2,1,3,3,2,1,1,2,1,3,3,5,1,3,3,6,3,2,5,2,2,2,5,2,2,1,2,2,2,2,1,3,3,3,3,5,2,2,5,3,1
4,2,2,4,4,2,2,1,4,3,1,1,2,1,3,2,2,1,3,1,1,2,5,3,2,1,3,1,1,3,3,5,1,2,3,6,5,2,2,5,3,1,5,3,2,1,3,3,5,2,2,2,3,3,3,2,2,1,3,5,1
5,2,1,4,2,2,4,2,2,4,2,2,2,5,3,1,3,4,2,2,5,2,5,2,5,3,2,1,3,3,3,3,2,2,1,2,1,2,2,1,3,3,1,3,2,2,5,1,3,2,5,2,2,5,5,3,5,2,2,5,1
4,5,3,4,3,4,1,4,3,4,3,3,3,5,1,3,1,4,3,3,1,5,3,5,5,5,3,1,3,3,3,1,3,5,1,6,3,2,1,5,3,5,3,3,3,5,5,2,1,5,3,2,1,5,1,3,1,5,2,5,1
4,1,2,2,3,2,1,4,4,2,2,4,3,3,1,1,4,4,3,5,3,2,2,2,1,5,3,2,1,3,3,5,3,1,3,1,2,2,2,1,1,3,1,3,1,3,1,2,2,5,3,3,2,5,3,1,1,2,2,2,1
4,2,1,2,1,2,3,3,1,4,3,2,2,1,4,3,1,4,2,1,5,2,3,1,2,1,5,3,1,3,3,5,2,1,3,6,3,3,2,2,1,3,3,3,3,5,2,1,3,5,3,2,5,5,2,2,5,1,3,2,1
4,5,3,1,1,2,4,2,4,3,3,1,2,1,2,1,2,3,2,2,2,1,3,3,5,5,3,5,1,3,3,5,1,2,3,6,3,3,1,3,1,1,3,2,5,5,5,2,5,2,2,5,5,5,2,5,3,2,5,3,1
5,2,4,2,2,1,4,2,3,2,2,4,4,3,4,2,4,3,5,3,3,3,3,5,3,2,1,2,5,3,3,5,3,1,3,1,5,5,3,3,3,3,3,3,1,5,1,1,1,3,3,1,1,3,3,3,3,3,3,2,1
4,4,4,3,2,4,2,1,2,1,3,2,4,3,2,2,2,1,5,5,3,2,2,5,1,1,1,3,1,1,3,5,1,1,3,6,1,3,3,1,2,2,2,5,3,3,3,1,5,2,5,3,3,3,3,1,3,3,3,1,1
2,1,3,3,2,4,3,3,3,3,2,1,3,2,1,4,2,3,1,1,2,2,1,3,1,3,3,1,3,5,3,5,1,2,3,2,2,5,3,3,3,2,2,1,3,1,5,3,3,5,3,5,1,3,2,5,3,3,3,1,1
2,5,2,4,3,3,1,2,1,3,3,4,3,3,4,1,1,1,3,1,2,1,2,5,5,3,5,3,3,3,3,5,3,1,3,6,2,1,5,2,2,2,5,1,2,5,2,2,2,1,1,2,1,5,2,5,3,3,1,3,1
5,5,2,1,1,3,1,4,2,1,4,2,3,1,3,3,1,2,2,5,3,1,3,3,3,2,5,2,1,3,3,5,1,1,3,3,3,3,5,1,3,3,1,3,3,3,1,2,2,5,2,1,1,2,5,2,2,2,1,3,1
2,2,3,4,2,4,4,3,2,4,3,2,4,3,1,4,3,1,2,5,5,5,1,3,1,3,5,2,1,1,3,5,1,1,3,6,5,5,3,3,3,3,3,2,5,1,3,1,3,1,3,2,5,3,3,3,3,3,5,2,1
2,5,3,2,4,2,4,4,2,1,4,3,1,1,3,1,1,3,1,1,2,2,1,2,3,1,1,3,1,3,3,2,1,1,3,2,1,3,3,3,3,2,2,1,2,5,3,3,2,2,1,3,3,2,2,1,3,3,3,1,1
4,1,3,3,1,3,2,4,1,3,1,2,1,1,3,4,1,2,5,3,3,5,2,5,2,1,3,2,1,3,3,5,3,2,3,6,3,1,3,3,3,3,1,3,3,3,3,1,5,3,3,2,5,3,2,2,1,1,3,3,1
4,1,3,1,4,2,3,1,2,2,4,3,3,1,2,4,2,2,1,5,3,1,3,1,1,1,5,2,5,3,3,5,3,1,3,6,3,2,2,5,5,2,1,2,1,5,2,1,2,2,5,3,2,2,2,1,3,2,5,2,1
2,2,3,2,2,4,3,2,4,3,3,1,1,3,1,4,3,3,2,3,1,3,3,1,2,5,5,5,1,1,3,5,3,1,3,6,3,3,3,3,2,5,2,5,2,2,5,1,2,2,2,1,2,1,2,3,5,3,2,5,1
5,5,2,1,1,3,1,2,2,1,4,4,3,1,3,3,1,2,2,5,3,1,3,3,1,1,2,1,1,3,3,5,3,3,3,6,3,1,1,5,3,3,3,2,1,3,2,1,3,1,1,3,3,2,1,2,2,1,5,5,1
2,2,3,4,2,4,3,3,2,2,3,2,3,3,1,4,3,1,2,5,5,2,2,3,2,1,2,2,1,1,3,5,3,1,3,6,5,5,3,1,1,1,5,3,3,5,3,3,3,2,2,1,3,1,1,2,1,5,2,2,1
2,5,3,3,2,2,4,1,2,2,4,3,1,1,3,1,1,3,1,1,2,2,1,2,3,1,3,3,1,3,3,5,3,1,3,1,1,2,5,1,5,1,5,3,3,1,1,1,1,3,5,2,1,3,2,5,5,1,1,1,1
1,1,3,3,1,4,3,2,2,3,1,3,3,1,1,4,3,3,5,5,2,5,5,2,1,2,2,1,1,3,3,5,3,3,3,6,3,5,2,1,5,5,5,3,1,3,3,5,3,3,1,1,3,3,1,1,2,2,2,1,1
4,1,3,1,4,4,3,1,3,2,4,3,2,1,3,4,2,2,2,1,3,2,5,2,1,3,2,1,5,3,3,5,1,3,3,1,1,5,1,3,5,3,2,2,1,3,3,1,1,3,3,3,5,3,3,5,3,2,1,2,1
2,2,3,2,2,3,2,2,4,3,2,4,3,3,1,3,3,3,2,3,1,3,3,1,2,3,2,2,2,1,3,5,3,1,3,6,2,5,5,3,3,2,2,2,5,2,2,2,2,5,5,1,3,5,2,2,3,2,2,2,1
5,2,4,2,2,4,2,4,3,3,1,4,2,3,2,1,3,4,2,1,5,2,2,1,3,1,3,1,5,3,3,5,1,1,3,1,2,2,2,5,2,2,5,2,2,5,2,5,3,2,1,3,3,2,2,5,3,3,3,2,1
1,5,3,3,4,4,1,4,3,3,1,3,3,2,1,4,2,3,2,5,5,5,3,2,2,5,3,1,1,5,3,5,3,1,3,6,5,2,2,2,5,3,2,2,5,2,5,3,5,3,5,5,5,2,1,5,2,2,1,5,1
2,1,1,3,3,1,1,2,1,4,2,4,3,5,3,1,2,1,5,2,5,2,2,5,3,5,3,1,2,1,3,5,3,1,3,6,1,3,2,2,2,2,5,1,5,1,1,2,2,2,5,2,5,5,5,2,5,2,5,3,1
4,1,4,2,2,4,3,3,1,4,1,4,4,1,1,1,3,3,1,1,5,5,3,1,2,5,1,2,5,3,3,5,3,1,1,6,2,2,5,5,1,5,5,2,5,1,5,5,5,5,2,5,1,5,5,5,2,2,2,2,1
1,4,2,2,1,3,3,3,2,1,2,4,2,1,2,2,1,3,3,2,5,3,2,1,1,3,1,1,2,1,3,5,3,2,6,3,3,3,3,5,1,1,3,1,3,3,3,3,1,3,2,3,3,3,3,3,1,5,2,2,1
4,2,1,2,4,1,2,2,1,2,2,2,4,2,1,2,2,2,2,5,5,2,2,5,2,1,1,2,1,3,3,5,1,3,6,3,3,3,3,1,5,2,5,3,3,3,3,5,3,3,3,3,3,3,2,1,3,5,3,3,1
2,1,1,3,2,2,1,2,4,3,4,3,1,3,2,4,3,3,1,2,2,5,3,3,2,5,3,1,3,3,3,5,3,1,3,6,3,5,3,3,3,5,5,5,3,5,3,5,3,2,2,5,5,3,5,3,3,3,5,5,1
2,1,1,4,3,3,1,2,2,2,2,1,1,2,4,3,2,4,2,2,5,3,2,3,2,2,3,2,5,3,3,5,1,1,3,3,1,1,2,3,2,2,3,3,3,5,5,2,2,3,5,3,2,2,5,3,3,3,3,1,1
1,1,3,1,3,4,3,2,1,1,1,4,3,2,1,2,2,4,2,2,5,3,2,1,1,3,1,1,3,1,3,5,3,1,3,6,3,5,3,1,3,3,2,2,1,5,2,5,2,2,1,5,3,3,5,2,5,3,3,3,1
4,4,3,2,2,2,4,3,1,2,2,2,4,3,1,2,2,3,1,3,1,2,2,5,3,3,3,2,3,3,3,5,3,1,3,6,3,2,3,3,3,3,5,2,1,3,3,1,3,3,3,1,1,1,2,3,3,2,2,2,1
5,4,2,3,2,3,3,2,4,1,2,4,1,2,1,1,2,2,1,3,1,3,2,3,1,3,3,2,2,1,3,5,3,1,3,6,1,1,2,5,2,2,3,3,2,2,2,1,3,3,3,1,3,2,1,3,1,5,2,1,1
1,4,1,1,2,3,3,3,1,1,3,3,1,3,1,4,3,2,5,3,2,1,3,2,3,2,3,2,3,3,3,5,1,2,2,1,3,3,3,3,2,1,3,5,3,3,3,3,2,3,2,2,5,2,2,2,5,3,1,5,1
4,4,2,4,3,2,2,3,3,1,3,2,2,2,2,4,2,1,5,3,2,5,3,1,3,1,5,3,3,1,3,5,1,1,3,3,1,3,3,3,1,3,1,5,3,3,1,3,3,2,1,5,2,1,5,3,5,2,5,3,1
2,5,3,2,4,3,4,3,2,4,3,4,3,3,1,3,1,1,1,3,1,1,3,1,3,2,5,2,1,3,3,5,1,1,3,3,1,1,3,3,3,3,5,3,1,2,1,1,3,5,3,3,3,3,5,2,5,3,1,3,1
1,4,3,1,3,3,3,1,3,2,4,1,2,5,2,4,2,1,3,3,2,5,3,2,1,1,3,5,1,1,3,5,1,5,3,1,1,3,3,1,3,3,2,5,3,1,5,2,2,2,5,3,1,3,1,5,2,2,5,5,1
4,2,4,2,4,1,1,4,3,4,3,4,2,5,2,4,2,1,2,3,3,2,5,5,3,5,1,1,1,5,3,5,3,1,2,1,2,2,2,2,3,3,3,3,3,3,2,2,5,3,1,5,3,5,3,5,3,5,3,3,1
4,4,3,2,2,2,4,3,3,2,2,2,4,3,1,2,2,2,1,3,1,2,2,5,3,3,3,2,3,2,3,5,3,1,3,6,3,2,1,3,3,3,5,2,5,3,2,1,3,3,3,1,1,1,5,3,3,5,2,3,1
2,4,2,4,2,2,3,2,4,1,2,4,1,2,1,1,2,2,1,3,1,3,2,3,1,3,3,3,2,3,3,5,3,1,3,6,3,1,2,2,2,2,3,3,2,2,2,3,3,3,1,2,3,2,1,3,3,5,2,1,1
1,4,1,1,2,3,3,3,1,1,3,3,1,3,1,2,3,2,5,3,2,1,3,2,3,2,3,2,3,3,3,5,1,2,2,1,3,3,3,3,2,2,1,2,1,3,3,3,2,3,2,2,5,2,2,2,3,3,1,5,1
4,5,2,4,3,2,2,1,3,1,3,2,2,2,2,4,2,1,2,2,2,5,3,1,3,1,5,3,3,3,3,5,1,1,3,3,1,3,3,3,1,3,1,5,3,3,3,3,3,5,3,5,2,1,5,3,5,2,2,2,1
2,5,3,2,4,3,4,1,1,4,3,4,3,3,1,3,3,1,1,3,1,1,3,1,3,2,5,2,1,3,3,5,1,1,3,3,1,1,3,3,3,3,5,3,1,3,3,1,3,5,3,5,3,3,5,2,5,3,1,3,1
4,1,1,1,1,3,3,1,3,3,3,1,3,2,4,1,2,4,2,5,2,1,3,3,2,5,3,2,1,1,3,5,1,1,3,6,1,5,3,1,1,3,3,1,3,3,2,5,3,1,5,2,2,2,5,3,1,1,1,5,1
4,4,2,4,2,4,3,1,4,3,4,3,4,2,4,2,4,2,1,2,3,3,2,3,5,3,1,1,1,3,3,5,3,1,3,1,2,2,5,5,3,3,3,3,3,3,2,2,5,3,1,5,3,5,3,5,3,3,3,3,1
4,4,3,2,1,3,4,3,3,2,2,2,4,3,1,2,2,3,1,3,1,2,2,5,3,3,3,2,5,3,3,5,3,1,3,6,3,2,3,3,3,3,5,2,1,3,3,2,1,3,3,3,1,1,1,5,3,3,2,2,1
5,4,2,4,2,2,3,2,4,1,2,4,1,2,1,1,2,2,1,3,1,3,2,3,1,3,3,2,2,3,3,5,3,1,3,6,3,1,2,2,2,2,3,3,2,2,2,3,3,3,2,3,2,1,3,3,5,2,1,2,1
1,4,1,1,2,3,3,3,1,1,3,3,1,3,1,2,3,2,5,3,2,1,3,2,3,2,3,2,3,3,3,5,1,2,2,1,3,3,3,3,2,1,3,5,3,3,3,3,1,3,2,2,5,5,2,2,2,2,1,5,1
4,4,2,4,3,2,2,3,1,1,3,2,2,2,2,4,2,1,2,2,2,5,3,1,3,1,5,3,3,3,3,5,1,1,3,3,1,3,3,3,3,3,1,5,3,1,3,3,3,3,5,2,1,5,1,5,2,5,2,5,1
2,5,3,2,4,3,4,3,1,4,3,4,3,5,1,3,3,1,3,3,1,1,3,1,3,2,5,2,1,3,3,5,1,3,3,3,1,1,3,3,3,3,5,3,1,3,3,3,3,5,3,3,3,3,5,2,5,3,1,3,1
4,1,1,1,1,3,3,1,3,3,3,1,3,2,4,1,2,4,2,5,2,1,3,3,2,5,3,2,3,5,3,5,1,1,3,6,3,1,5,3,3,3,3,3,5,3,3,3,1,3,5,3,5,3,3,1,3,3,1,3,1
2,2,4,4,3,2,4,2,2,4,3,2,2,3,2,4,3,3,2,2,5,5,3,2,5,3,2,5,2,2,3,5,3,1,3,6,5,5,3,1,3,1,2,3,2,2,2,3,3,3,1,1,3,3,2,1,3,3,3,3,1
5,2,1,3,2,2,1,2,4,4,2,3,4,3,2,2,3,3,5,2,5,5,2,2,5,3,2,2,1,3,3,5,2,2,3,2,3,2,3,2,2,3,3,3,5,5,3,2,4,4,2,1,2,2,5,2,5,2,2,3,1
1,4,3,2,3,4,3,2,2,3,3,2,2,1,3,2,3,3,2,3,3,3,3,3,3,2,3,2,1,3,3,5,3,1,3,3,2,3,5,3,2,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,2,1
2,1,2,4,3,3,4,4,1,4,2,1,2,2,2,4,4,4,1,2,5,3,2,1,1,2,2,1,2,1,3,5,1,1,3,6,2,2,2,3,1,3,3,1,1,5,2,3,2,3,3,2,3,3,3,1,1,3,3,1,1
4,1,1,2,2,3,1,1,3,1,2,3,4,3,4,4,4,3,2,1,1,1,5,3,5,2,2,2,2,3,3,5,3,1,3,6,2,5,2,5,5,5,5,3,1,1,2,5,2,5,2,1,3,2,2,5,3,2,5,2,1
2,2,1,4,2,4,1,2,1,3,3,2,4,2,2,1,2,2,5,5,3,3,3,2,5,3,2,1,1,3,3,5,3,1,3,1,3,3,2,5,3,1,5,2,5,2,3,2,5,2,5,3,3,2,2,2,5,2,1,2,1
1,2,4,4,4,3,2,4,3,3,2,1,3,1,2,2,4,3,1,3,2,2,1,2,5,5,1,2,2,5,3,5,1,1,3,3,3,2,5,3,3,3,3,3,2,1,5,5,5,5,5,5,2,5,5,5,2,5,5,1,1
4,5,3,3,1,3,2,1,3,2,4,3,1,2,2,2,1,3,3,1,3,5,5,2,5,3,5,3,1,3,3,5,1,1,3,3,2,5,3,3,3,2,5,2,2,5,3,1,3,3,2,2,1,2,2,5,2,3,3,3,1
5,4,4,4,1,2,2,4,2,1,2,2,4,5,2,3,3,1,3,1,2,1,1,3,1,5,2,1,1,3,3,5,3,2,2,6,2,1,2,1,3,2,2,2,2,5,2,1,3,3,2,2,2,1,2,2,2,2,2,1,1
2,1,1,1,4,4,3,4,3,3,1,2,3,5,3,1,4,4,2,2,2,5,5,5,2,5,2,1,3,3,3,5,3,1,3,3,1,2,2,5,3,3,1,3,2,2,5,1,3,1,2,1,2,2,2,2,5,3,3,3,1
1,5,2,3,4,3,3,1,3,1,4,3,2,1,3,2,4,3,1,3,3,2,1,3,2,1,2,1,1,3,3,5,3,3,3,3,1,2,5,3,5,1,2,3,5,3,3,1,2,3,3,2,2,5,2,2,2,2,5,2,1
4,2,2,3,4,3,3,4,4,4,4,4,4,5,3,2,4,4,2,1,2,2,1,2,2,2,5,3,1,3,3,5,3,2,3,6,2,2,5,3,3,3,3,1,2,1,1,3,2,1,1,1,1,3,3,2,5,2,2,5,1
2,5,4,3,2,2,2,2,1,2,2,3,2,1,2,2,1,2,1,2,3,3,2,2,2,1,3,2,1,3,3,5,3,1,2,6,2,2,2,3,1,3,3,3,5,5,3,3,3,3,1,5,3,1,3,5,3,1,3,3,1
5,2,4,3,3,3,1,3,1,3,3,2,2,1,2,1,4,3,1,3,5,5,2,5,3,3,2,2,5,3,3,5,1,5,3,6,3,3,3,3,3,2,2,3,3,3,3,3,2,2,5,3,2,2,3,5,2,1,1,1,1
2,2,1,4,2,4,1,2,1,3,3,2,4,2,2,1,2,2,5,5,3,3,3,2,5,3,2,1,1,3,3,5,3,1,3,1,3,3,2,5,3,1,5,2,5,2,3,2,5,2,5,3,3,2,2,2,5,2,1,2,1
1,2,4,4,4,3,2,4,3,3,2,1,3,1,2,2,4,3,1,3,2,2,1,2,5,5,1,2,2,5,3,5,1,1,3,3,3,2,5,3,3,3,3,3,2,1,5,5,5,5,5,5,2,5,5,5,2,5,5,1,1
4,5,3,3,1,3,2,1,3,2,4,3,1,2,2,2,1,3,3,1,3,5,5,2,5,3,5,3,1,3,3,5,1,1,3,3,2,5,3,3,3,2,5,2,2,5,3,1,3,3,2,2,1,2,2,5,2,3,3,3,1
5,4,4,4,1,2,2,4,2,1,2,2,4,5,2,3,3,1,3,1,2,1,1,3,1,5,2,1,1,3,3,5,3,2,2,6,2,1,2,1,3,2,2,2,2,5,2,1,3,3,2,2,2,1,2,2,2,2,2,1,1
2,1,1,1,4,4,3,4,3,3,1,2,3,5,3,1,4,4,2,2,2,5,5,5,2,5,2,1,3,3,3,5,3,1,3,3,1,2,2,5,3,3,1,3,2,2,5,1,3,1,2,1,2,2,2,2,5,3,3,3,1
1,5,2,3,4,3,3,1,3,1,4,3,2,1,3,2,4,3,1,3,3,2,1,3,2,1,2,1,1,3,3,5,3,3,3,3,1,2,5,2,5,1,2,3,5,3,3,1,2,3,3,2,2,5,2,2,2,2,5,2,1
4,2,2,3,4,3,3,4,4,4,4,4,4,5,3,2,4,4,2,1,2,2,1,2,2,2,5,3,1,3,3,5,3,2,3,6,2,2,5,3,3,3,3,1,2,1,1,3,2,1,1,1,1,3,3,2,5,2,2,5,1
2,5,4,3,2,2,2,2,1,2,2,3,2,1,2,2,1,2,1,2,3,3,2,2,2,1,3,2,1,3,3,5,3,1,2,6,2,2,2,3,1,3,3,3,5,5,3,3,3,3,1,5,3,1,3,5,3,1,3,3,1
5,2,4,3,3,3,1,3,1,3,3,2,2,1,2,1,4,3,1,3,5,5,2,5,3,3,2,2,5,3,3,5,1,5,3,6,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,5,3,2,2,3,5,3,1,1,1
4,1,3,2,2,2,4,3,3,2,2,2,4,3,1,2,2,3,1,3,1,2,2,5,3,3,3,2,2,5,3,5,3,1,3,6,3,2,3,3,3,3,5,5,3,3,3,1,3,3,3,1,1,1,2,3,3,2,2,5,1
5,4,2,3,2,3,3,2,4,1,2,4,1,2,1,1,2,2,1,3,1,3,2,3,1,3,3,2,2,3,3,5,3,1,3,6,3,1,2,2,2,2,3,3,2,2,2,3,3,3,3,2,3,2,1,3,3,5,2,1,1
1,4,1,1,2,3,3,3,1,1,3,3,1,3,1,3,2,2,5,3,2,1,3,2,3,2,3,2,3,3,3,5,1,2,2,1,3,3,3,3,2,1,3,5,3,3,3,3,1,3,2,2,5,5,2,2,2,2,1,5,1
4,4,2,4,3,2,2,3,3,1,3,2,2,2,2,4,2,1,2,2,2,5,3,1,3,1,5,3,3,3,3,5,1,1,3,3,1,3,3,3,3,3,1,5,3,1,3,3,3,3,5,3,1,5,3,5,3,5,2,5,1
2,5,3,4,4,3,4,3,1,4,3,4,3,5,1,3,3,1,3,3,1,1,3,1,3,2,5,2,1,3,3,5,1,3,3,3,1,1,3,3,3,3,5,3,1,3,3,1,3,5,3,3,3,3,5,2,5,3,3,3,1
4,1,1,1,1,3,3,1,3,3,3,1,3,2,4,3,2,4,2,5,2,1,3,3,2,5,3,2,3,5,3,5,1,1,3,6,3,1,5,3,3,2,3,3,5,3,3,3,2,3,5,3,5,3,3,1,3,3,1,3,1
