%%  1. Title: Credit Approval
%%  
%%  2. Sources: 
%%      (confidential)
%%      Submitted by quinlan@cs.su.oz.au
%%  
%%  3.  Past Usage:
%%  
%%      See Quinlan,
%%      * "Simplifying decision trees", Int J Man-Machine Studies 27,
%%        Dec 1987, pp. 221-234.
%%      * "C4.5: Programs for Machine Learning", Morgan Kaufmann, Oct 1992
%%    
%%  4.  Relevant Information:
%%  
%%      This file concerns credit card applications.  All attribute names
%%      and values have been changed to meaningless symbols to protect
%%      confidentiality of the data.
%%    
%%      This dataset is interesting because there is a good mix of
%%      attributes -- continuous, nominal with small numbers of
%%      values, and nominal with larger numbers of values.  There
%%      are also a few missing values.
%%    
%%  5.  Number of Instances: 690
%%  
%%  6.  Number of Attributes: 15 + class attribute
%%  
%%  7.  Attribute Information:
%%  
%%      A1: b, a.
%%      A2: continuous.
%%      A3: continuous.
%%      A4: u, y, l, t.
%%      A5: g, p, gg.
%%      A6: c, d, cc, i, j, k, m, r, q, w, x, e, aa, ff.
%%      A7: v, h, bb, j, n, z, dd, ff, o.
%%      A8: continuous.
%%      A9: t, f.
%%      A10:    t, f.
%%      A11:    continuous.
%%      A12:    t, f.
%%      A13:    g, p, s.
%%      A14:    continuous.
%%      A15:    continuous.
%%      A16: +,-         (class attribute)
%%  
%%  8.  Missing Attribute Values:
%%      37 cases (5%) have one or more missing values.  The missing
%%      values from particular attributes are:
%%  
%%      A1:  12
%%      A2:  12
%%      A4:   6
%%      A5:   6
%%      A6:   9
%%      A7:   9
%%      A14: 13
%%  
%%  9.  Class Distribution
%%    
%%      +: 307 (44.5%)
%%      -: 383 (55.5%)


@relation credit-approval

@attribute V1 {'?',a,b}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 {'?',l,u,y}
@attribute V5 {'?',g,gg,p}
@attribute V6 {'?',aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute V7 {'?',bb,dd,ff,h,j,n,o,v,z}
@attribute V8 numeric
@attribute V9 {f,t}
@attribute V10 {f,t}
@attribute V11 numeric
@attribute V12 {f,t}
@attribute V13 {g,p,s}
@attribute V14 numeric
@attribute V15 numeric
@attribute Class {1,2}

@data
a,182,2.5,y,p,c,v,2.5,f,f,0,t,g,2,2,1
b,189,2.5,u,g,c,v,1,f,f,0,f,g,146,16,1
a,99,12.5,u,g,d,v,1,f,f,0,t,g,64,1062,1
b,196,2.5,u,g,cc,bb,0.5,f,f,0,f,g,112,0,1
b,125,0.75,u,g,q,h,0.165,f,f,0,t,g,77,251,1
b,279,6.5,u,g,c,v,1,f,f,0,t,g,2,228,1
a,197,1.25,y,p,i,h,0.5,f,f,0,t,g,54,0,1
a,182,3,y,p,aa,v,2,f,f,0,f,g,64,0,1
b,128,3,u,g,w,v,0.75,f,f,0,t,g,102,67,1
a,230,4,u,g,c,v,3,f,f,0,f,g,149,0,1
b,258,4.085,u,g,aa,v,0.04,f,f,0,f,g,35,100,1
b,118,2.25,u,g,i,bb,0.5,f,f,0,t,g,162,4000,1
b,186,2.75,u,g,i,bb,0,f,f,0,f,g,64,0,1
b,228,1.75,u,g,k,v,0.5,f,f,0,t,g,102,2,1
b,337,7,u,g,e,z,0,f,f,0,f,g,2,12,1
'?',172,1.5,u,g,c,v,0.25,f,f,0,t,g,122,122,1
b,116,4.5,y,p,c,bb,2.5,f,f,0,f,g,69,1210,1
b,338,0.54,u,g,c,v,0.585,t,t,3,t,g,64,0,1
b,127,1.5,u,g,w,v,2.25,f,t,1,t,g,33,3,1
a,110,2,u,g,j,j,0,f,f,0,t,g,97,1,1
b,67,0.585,y,p,ff,ff,0,f,f,0,f,g,33,0,1
b,71,11.5,y,p,m,v,1.5,f,f,0,t,g,2,4000,1
b,157,1.585,u,g,d,v,0.585,f,f,0,t,s,2,0,1
b,213,2,u,g,i,v,0.25,f,f,0,t,g,78,0,1
a,7,0.165,u,g,aa,v,1,f,t,2,t,g,107,1,1
b,246,1.335,u,g,d,v,0.165,f,f,0,f,g,58,0,1
a,39,0.165,u,g,q,v,0.04,f,f,0,t,g,124,0,1
b,174,3,u,g,d,v,0.165,f,f,0,t,g,39,0,1
a,214,4.71,u,g,ff,ff,0,f,f,0,f,g,54,0,1
a,151,5.5,u,g,k,v,5.5,f,f,0,t,s,33,0,1
b,78,2.5,u,g,ff,ff,0.085,f,f,0,t,g,33,4208,1
b,117,0.54,u,g,k,ff,0,f,f,0,f,g,33,0,1
b,13,0.335,y,p,k,v,0.29,f,f,0,f,s,69,0,1
b,90,2,u,g,e,dd,0.165,f,t,2,f,g,107,1300,1
b,259,1.25,u,g,m,v,13.875,f,t,1,t,g,115,112,1
a,74,6.165,u,g,aa,v,0.165,f,f,0,f,g,77,1000,1
b,234,1.71,y,p,m,v,0.165,f,f,0,f,s,131,0,1
a,84,11.5,y,p,k,h,3,f,f,0,t,g,4,16,1
b,58,0.75,y,p,r,n,0.75,f,f,0,t,g,44,2,1
b,179,2.5,y,p,w,v,7,f,f,0,t,g,98,0,1
b,112,13,u,g,e,dd,0,f,f,0,t,g,46,1110,1
a,269,4.585,u,g,k,h,1,f,f,0,t,s,86,0,1
b,111,1.54,u,g,w,v,0.125,f,f,0,f,g,33,0,1
'?',130,0.585,u,g,aa,v,0.04,f,f,0,f,g,92,1004,1
a,52,0.5,y,p,e,dd,1,f,f,0,f,g,92,0,1
b,136,14.5,u,g,d,v,0.125,f,f,0,f,g,2,286,1
b,50,0.835,y,p,c,v,2,f,f,0,t,s,86,0,1
b,192,1.335,u,g,i,bb,0.125,f,f,0,t,g,141,4500,1
b,184,0.25,u,g,i,bb,4,f,f,0,t,s,136,0,1
b,262,5,u,g,i,bb,2.25,f,f,0,t,g,47,0,1
a,73,7,u,g,c,v,0.165,f,f,0,f,g,54,0,1
a,89,2.5,y,p,i,bb,4.5,f,f,0,f,g,69,456,1
a,322,4.25,y,p,ff,ff,5,f,f,0,t,g,2,4,1
b,66,11.46,u,g,k,v,1.585,f,f,0,t,g,33,1212,1
b,188,5.5,y,p,c,v,1.5,f,f,0,t,g,19,0,1
b,72,1.5,y,p,aa,v,0.54,f,f,0,t,g,39,67,1
b,55,0,u,g,c,v,0.5,f,f,0,t,s,2,0,1
b,115,14.585,u,g,i,bb,0,f,f,0,t,g,63,0,1
b,76,0.17,u,g,m,v,0.085,f,f,0,f,s,2,0,1
b,3,7,u,g,e,v,1,f,f,0,f,g,161,0,1
b,238,5,u,g,i,bb,0.21,f,f,0,f,g,158,0,1
b,123,12.5,u,g,aa,bb,0.25,f,f,0,t,g,165,0,1
b,93,0.54,u,g,m,v,1,f,f,0,t,g,39,1,1
b,246,1.25,y,p,w,v,0.25,f,f,0,f,g,2,195,1
a,180,1.625,u,g,d,v,0.54,f,f,0,t,g,2,0,1
b,146,2.04,y,p,x,h,0.04,f,f,0,f,g,41,1,1
a,84,0.585,y,p,ff,ff,0.125,f,f,0,f,g,39,87,1
b,110,12.5,y,p,k,h,1.25,f,f,0,t,g,2,17,1
b,159,2.085,u,g,c,v,0.085,f,f,0,f,g,102,0,1
b,51,5.085,y,p,j,v,0.29,f,f,0,f,g,46,184,1
b,138,0.375,u,g,c,v,0.29,f,f,0,f,g,77,140,1
a,303,6.5,u,g,i,bb,3.085,f,f,0,t,g,22,0,1
a,73,0.335,u,g,q,v,0.75,f,f,0,f,s,54,0,1
b,188,5.085,y,p,i,bb,1.085,f,f,0,t,g,149,0,1
a,345,6,u,g,ff,ff,0,f,f,0,f,s,2,0,1
a,241,8.125,y,p,k,v,0.165,f,t,2,f,g,?,18,1
a,40,0.665,y,p,c,v,1,f,t,1,f,g,171,2,1
b,7,3.125,u,g,w,v,0.085,f,t,1,f,g,2,6,1
b,14,0.25,u,g,q,v,0.335,f,t,4,f,g,54,8,1
b,161,2.835,u,g,ff,ff,0,f,t,5,f,g,62,146,1
b,98,3,u,g,c,v,1.25,f,t,1,f,g,2,22,1
a,73,0.79,u,g,i,v,0.085,f,f,0,f,g,48,0,1
b,242,1.5,u,g,i,bb,0,f,f,0,f,s,102,0,1
b,68,0.46,u,g,k,v,0.125,f,f,0,t,g,98,55,1
a,68,1.25,y,p,ff,ff,3.25,f,f,0,f,g,98,0,1
b,71,0.125,y,p,k,v,0.125,f,f,0,f,g,69,70,1
b,84,1.79,u,g,c,v,0.54,f,f,0,t,g,45,1,1
b,224,0.705,u,g,c,v,0.375,f,t,2,f,g,80,500,1
a,114,2.54,y,p,ff,ff,0,f,f,0,t,g,64,60,1
b,199,2.5,u,g,i,v,1,f,f,0,t,g,73,0,1
b,48,1.085,u,g,q,v,1.5,f,f,0,f,g,35,7,1
b,141,1.25,u,g,w,v,1.75,f,f,0,f,g,69,0,1
b,110,0.835,u,g,cc,v,1.165,f,f,0,f,g,33,0,1
b,185,2.165,u,g,c,v,1.5,f,f,0,f,p,39,0,1
b,92,1.25,u,g,c,v,0.25,f,f,0,f,g,36,0,1
a,125,2.04,u,g,w,v,0.25,f,f,0,t,g,64,50,1
b,218,0.835,u,g,e,v,0.04,f,f,0,f,g,39,5,1
b,292,2.29,u,g,ff,ff,0.29,f,f,0,f,g,69,3,1
b,184,0.335,y,p,cc,v,0.085,f,f,0,f,g,64,0,1
b,302,3,y,p,ff,ff,1.5,f,f,0,f,g,64,4,1
b,76,3.165,y,p,c,v,0.165,f,f,0,f,g,54,1058,1
b,63,1.54,u,g,k,v,0.085,f,f,0,t,g,116,0,1
b,99,1,u,g,aa,v,0.5,f,f,0,f,g,69,0,1
b,329,2.71,u,g,c,v,2.415,f,f,0,t,g,107,0,1
b,35,0,y,p,ff,ff,0,f,t,4,f,g,14,1,1
b,40,0.585,u,g,ff,ff,0,f,t,3,f,g,114,769,1
a,309,0.165,u,g,ff,ff,0,f,f,0,t,s,20,27,1
a,120,1.25,u,g,ff,ff,0,f,t,1,f,g,28,300,1
b,107,0.875,u,g,k,v,0.375,f,t,2,t,g,61,3,1
b,78,0,u,g,k,v,1,f,t,11,f,s,2,0,1
b,236,5,u,g,ff,ff,0,f,t,2,f,g,3,1,1
b,155,2.71,y,p,m,v,0.125,f,f,0,t,s,25,0,1
b,15,3,u,g,k,v,0.04,f,f,0,t,g,54,40,1
a,20,0,y,p,j,ff,0,f,f,0,f,g,26,0,1
a,?,11.25,u,g,ff,ff,0,f,f,0,f,g,?,5200,1
b,12,0.125,u,g,c,v,0.165,f,f,0,f,g,44,0,1
a,122,1.665,u,g,ff,ff,0,f,f,0,f,g,111,1,1
b,161,1.125,u,g,ff,ff,0,f,t,1,f,g,31,19,1
b,43,7,u,g,c,v,0.5,f,f,0,f,g,2,0,1
b,?,3,y,p,i,bb,7,f,f,0,f,g,2,1,1
b,235,1.625,u,g,c,v,1.5,f,f,0,f,g,2,316,1
b,211,4.25,u,g,q,v,3.5,f,f,0,f,g,144,50,1
'?',145,0.665,u,g,w,v,0.25,f,f,0,t,g,102,0,1
b,306,1.5,u,g,d,v,3.75,f,f,0,t,g,2,350,1
b,207,18.125,u,g,w,v,0.085,f,f,0,f,g,107,3552,1
b,194,0,'?','?','?','?',0,f,f,0,f,p,?,0,1
b,144,0.75,y,p,c,v,0.04,f,f,0,f,g,86,0,1
b,207,5.5,u,g,i,bb,5,f,f,0,f,g,73,687,1
b,104,0.29,y,p,c,v,1.5,f,f,0,t,g,54,0,1
a,91,2.415,y,p,c,v,0,f,f,0,f,g,39,0,1
b,87,0.875,u,g,m,v,0.085,f,t,4,f,g,90,1950,1
b,64,0.5,u,g,c,v,0.125,f,f,0,f,g,117,0,1
a,212,0.29,u,g,ff,ff,0,f,t,10,f,g,69,18,1
a,77,1.835,u,g,j,j,0,f,t,1,f,g,69,53,1
a,124,3,u,g,m,v,2.79,f,t,1,t,g,98,10,1
b,160,3.085,u,g,c,v,2.5,f,t,2,t,g,54,41,1
a,153,1.375,u,g,w,h,0.04,f,t,3,f,g,2,33,1
b,66,2.335,u,g,k,v,0.75,f,f,0,f,g,64,0,1
b,11,4.085,u,g,i,h,0.415,f,f,0,t,g,39,0,1
a,64,11.665,u,g,k,h,0.085,f,f,0,f,g,107,5,1
b,54,4.125,y,p,i,h,0.04,f,f,0,f,g,46,100,1
b,17,6.5,u,g,i,v,0.125,f,f,0,f,g,19,100,1
b,36,4,y,p,i,v,1,f,f,0,t,g,117,1000,1
b,50,0.415,u,g,c,v,0.125,f,f,0,f,g,2,44,1
b,116,2,u,g,d,v,0.75,f,f,0,t,g,25,0,1
b,84,0.835,u,g,i,h,0.085,f,f,0,t,g,77,5,1
b,231,2.5,y,p,i,h,10,f,f,0,t,s,69,0,1
b,74,11.5,u,g,i,v,0.415,f,f,0,f,g,2,0,1
'?',113,2.71,y,p,'?','?',0.085,f,f,0,f,s,25,0,1
a,13,0.5,u,g,i,v,0.165,f,t,6,t,g,86,35,1
b,83,3.165,y,p,k,v,0.415,f,t,1,t,g,98,80,1
a,16,9.5,u,g,aa,v,1.75,f,t,10,t,g,2,10,1
b,85,0.415,y,p,c,v,0.04,f,t,2,f,g,41,6,1
b,195,1.08,u,g,m,v,1.165,f,f,0,f,s,8,0,1
b,348,19,y,p,ff,ff,0.04,f,t,2,f,g,2,351,1
b,130,0.125,y,p,k,v,0.085,f,f,0,f,g,76,2100,1
b,91,13.335,y,p,aa,v,0.04,f,f,0,t,g,39,475,1
b,33,3.54,y,p,ff,ff,0,f,f,0,t,g,64,1,1
'?',271,1,u,g,q,v,0.125,f,f,0,t,g,93,0,1
a,278,0.75,u,g,q,h,2.75,t,t,1,f,g,110,892,2
b,88,0.875,u,g,q,v,4.625,t,t,2,t,g,156,2000,2
b,232,9.5,u,g,m,v,6.5,t,t,14,f,g,86,4607,2
a,49,11.835,u,g,c,h,6,t,f,0,f,g,111,0,2
a,33,4.415,y,p,c,h,3,t,f,0,f,g,86,0,2
b,36,9.5,u,g,w,v,1.5,t,f,0,f,g,39,2206,2
a,96,0.875,u,g,x,h,1.04,t,f,0,t,g,54,5860,2
b,45,9.25,u,g,c,v,1.665,t,t,3,t,g,12,28,2
b,105,0.5,u,g,c,v,1.46,t,t,5,t,g,106,0,2
b,48,7,u,g,c,v,1.625,t,t,3,f,g,69,1391,2
b,?,4,u,g,x,v,5,t,t,3,t,g,100,2279,2
b,229,5,u,g,cc,v,3.5,t,t,10,t,g,2,0,2
a,339,0.165,u,g,ff,ff,0,t,t,1,f,g,84,100,2
b,131,5.125,u,g,x,v,4.75,t,t,2,f,g,136,7,2
a,137,3.75,u,g,c,v,1.085,t,t,1,t,g,121,0,2
b,162,19.5,u,g,c,v,7,t,t,16,f,g,2,5000,2
a,34,9,u,g,aa,v,0.75,t,t,2,f,g,27,591,2
a,93,3,u,g,q,h,1.835,t,t,19,f,g,2,500,2
a,156,12,u,g,c,v,2,t,t,1,f,g,77,19,2
b,53,4.79,y,p,w,v,2.25,t,t,1,t,g,25,300,2
b,2,4,y,p,w,v,1.75,t,t,2,t,g,39,1000,2
a,273,4,u,g,j,j,0,t,f,0,f,g,33,960,2
a,267,0,u,g,c,v,2.5,t,f,0,f,g,2,0,2
b,46,9.96,u,g,e,dd,0,t,f,0,f,g,2,0,2
b,73,2.54,y,p,c,h,2.585,t,f,0,f,g,2,0,2
b,?,10.5,u,g,x,v,6.5,t,f,0,f,g,2,0,2
a,335,5,u,g,aa,v,4,t,t,4,f,g,2,99,2
b,8,0.75,u,g,c,v,1.75,t,t,5,t,g,115,690,2
a,130,0.375,u,g,q,v,0.585,t,t,4,f,g,25,0,2
b,231,1.71,u,g,x,v,0.125,t,t,5,t,g,149,0,2
'?',48,7.5,u,g,k,v,1.5,t,t,1,f,g,54,234,2
a,148,5.29,u,g,e,dd,2.25,t,t,5,t,g,32,500,2
b,75,3,u,g,m,v,1.29,t,t,1,f,g,92,800,2
a,71,8.5,u,g,q,v,1.75,t,t,10,f,g,25,990,1
a,135,1.665,u,g,q,v,2.415,t,f,0,t,g,141,0,1
b,270,1.5,u,g,c,v,2.5,t,f,0,t,g,46,0,1
b,250,1.75,u,g,k,v,0.21,t,f,0,f,g,54,0,1
a,323,0.335,u,g,i,bb,1,t,f,0,t,g,88,2197,1
a,315,7.08,u,g,k,h,6.75,t,t,3,t,g,33,50,1
b,263,25.21,u,g,q,h,0.21,t,t,1,f,g,166,90,1
a,100,2.085,u,g,c,h,2.75,t,f,0,t,g,117,1,1
a,92,0.67,u,g,aa,h,1.75,t,f,0,f,g,131,0,1
b,262,2.25,u,g,i,bb,0.75,t,f,0,f,g,159,0,1
b,244,0.835,u,g,ff,ff,0,t,f,0,f,g,43,1,1
b,167,2.5,u,g,aa,v,7.5,t,f,0,t,g,157,0,1
a,187,1.585,y,p,ff,ff,0,t,f,0,f,g,107,0,1
a,95,1.25,u,g,ff,ff,0,t,f,0,f,g,25,0,1
b,201,3.165,u,g,x,h,3.75,t,f,0,t,g,163,0,1
b,191,1.75,u,g,w,bb,0.25,t,f,0,t,g,55,0,1
b,350,5.5,u,g,'?','?',0.54,t,f,0,f,g,2,340,1
b,38,1.5,y,p,cc,v,2,t,f,0,t,g,33,20,1
b,258,3,u,g,i,bb,1,t,f,0,f,g,2,200,1
b,41,10,y,p,k,h,0.835,t,f,0,t,g,46,0,1
b,209,3.79,u,g,w,v,1.165,t,f,0,t,g,69,0,1
b,149,1.04,y,p,i,bb,0.5,t,t,10,t,g,44,28,1
b,266,11,y,p,d,v,1.5,t,f,0,f,s,2,0,1
b,84,0.46,y,p,w,v,2.625,t,t,6,t,g,72,347,1
b,86,1.5,u,g,d,h,1.875,t,t,6,f,g,69,327,2
b,181,1,u,g,x,v,0.75,t,t,7,t,g,111,4071,2
b,287,12,u,g,m,v,16,t,f,0,f,s,36,0,2
b,349,22.29,u,g,e,z,12.75,t,t,1,t,g,2,109,2
b,299,10,u,g,i,bb,0,t,t,11,f,g,2,1249,2
b,196,15,u,g,r,n,5.375,t,t,9,t,g,2,134,2
b,225,3.335,u,g,w,v,4,t,t,14,f,g,126,1344,2
a,70,11.25,y,p,x,h,0.75,t,t,4,f,g,2,321,2
b,252,0.42,u,g,c,h,0.21,t,t,6,f,g,77,948,2
b,143,4.5,u,g,w,v,7.5,t,t,2,t,g,109,0,2
a,171,1.46,u,g,w,v,1.085,t,t,16,f,g,39,2079,2
b,300,0.04,u,g,x,h,0.04,t,f,0,f,g,2,3000,2
a,75,2.29,u,g,q,h,2.29,t,t,7,t,g,46,2384,2
a,96,12.33,u,g,cc,h,3.5,t,t,6,f,g,131,458,2
b,116,1.125,u,g,x,h,1.25,t,f,0,f,g,2,5298,2
b,81,1.5,u,g,c,h,1.415,t,f,0,f,g,137,200,2
b,90,12.335,u,g,q,h,1.585,t,f,0,t,g,39,0,2
b,255,5.04,u,g,q,h,12.75,t,f,0,t,g,28,0,2
a,52,3,u,g,aa,v,0.04,t,f,0,f,g,33,0,2
b,78,11.5,u,g,w,h,2.125,t,t,11,t,g,100,284,2
a,98,2.875,u,g,x,h,0.875,t,f,0,f,g,117,0,2
b,261,0.375,y,p,c,v,0.375,t,t,8,t,g,102,162,2
a,204,0.915,u,g,aa,v,0.75,t,t,4,f,g,2,1583,2
b,331,2.75,u,g,w,v,1.75,t,t,5,t,g,19,58,2
b,53,3,y,p,d,v,1.085,t,t,8,t,g,54,1,2
b,64,0.54,y,p,x,v,0.04,t,t,1,t,g,167,59,2
a,340,14,u,g,ff,ff,0,t,t,11,t,g,2,1400,2
a,47,10,u,g,c,h,1,t,t,4,f,g,16,1465,2
b,172,0.165,y,p,c,h,3.25,t,t,1,t,g,139,8000,2
b,150,0.5,u,g,c,v,1.75,t,t,11,f,g,11,540,2
b,98,6,u,g,c,v,1,t,t,3,f,g,2,0,2
b,231,1.625,u,g,c,v,1.5,t,t,10,f,g,66,4700,2
b,230,6,u,g,m,v,1.29,t,t,5,t,g,35,1097,2
b,165,0.83,u,g,x,v,1.335,t,t,8,t,g,103,3290,2
b,245,0.04,u,g,e,v,0.04,f,t,1,f,s,159,0,2
b,288,4.25,u,g,m,v,0.125,t,f,0,t,g,80,0,2
b,175,9,y,p,w,h,5.25,t,f,0,t,g,52,0,2
a,129,15,y,p,e,z,0,t,f,0,f,g,2,13212,2
b,347,17.75,u,g,ff,ff,0,t,f,0,t,g,2,0,2
b,339,20,u,g,x,h,17.5,t,t,9,t,g,2,1000,2
b,301,15,u,g,c,v,8.5,t,t,9,f,g,2,0,2
b,115,1.75,y,p,c,v,1,t,t,5,t,g,54,5777,2
b,100,0.58,u,g,c,v,0.29,t,t,7,t,g,31,5124,2
b,150,6.5,u,g,cc,v,3.125,t,t,8,f,g,109,1200,2
b,119,0.75,u,g,c,h,4.25,t,t,3,t,g,106,150,2
b,79,0,'?','?','?','?',0,f,f,0,f,p,?,0,2
b,190,5.25,u,g,w,v,0.085,f,f,0,t,g,100,6,2
b,226,0.21,u,g,k,v,0.085,t,f,0,t,g,98,0,2
b,105,0.75,u,g,c,bb,0.25,t,f,0,f,g,113,23,2
a,274,3,u,g,c,v,2.375,t,t,8,t,g,129,4159,2
a,59,6,u,g,aa,v,2.5,t,t,3,f,g,25,918,2
'?',44,0.125,u,g,q,v,1,f,t,1,f,g,86,768,2
b,49,2.415,u,g,c,v,2,t,t,11,t,g,69,3000,2
a,142,0.46,u,g,k,v,0.54,t,t,4,f,g,124,500,2
'?',256,1.75,y,p,'?','?',0,f,f,0,t,g,50,1,1
b,146,1.25,y,p,k,v,0.25,f,f,0,f,g,79,0,1
b,44,0.25,u,g,q,v,0.125,f,f,0,f,g,69,0,1
b,82,0.585,u,g,c,h,0.085,t,f,0,f,g,64,0,1
a,143,1.75,y,p,k,v,1.25,f,f,0,t,g,98,0,1
b,9,0.04,u,g,c,v,0.04,f,f,0,f,g,2,0,2
b,173,3.5,u,g,k,v,0.5,f,f,0,t,g,84,0,1
b,?,0.04,y,p,d,v,4.25,f,f,0,t,g,146,0,1
b,283,4.165,u,g,x,bb,0.085,f,f,0,t,g,156,0,1
b,43,1.25,y,p,k,v,0.125,f,f,0,f,g,46,4,1
b,124,3.25,y,p,q,h,5.085,f,t,2,t,g,119,1,1
b,65,0.79,u,g,w,v,0.29,f,t,1,f,g,136,283,1
b,37,10.915,u,g,c,bb,0.585,f,t,2,t,g,69,7,1
a,223,4.415,u,g,c,v,0.125,f,f,0,f,g,54,0,1
b,141,1.25,u,g,c,h,0.25,f,t,2,t,g,131,108,1
b,73,0.75,u,g,i,v,1.585,f,t,1,t,g,131,9,1
b,172,14,y,p,ff,ff,0,f,t,2,f,g,54,1,1
b,143,4.75,u,g,m,v,2,f,t,1,t,g,146,68,1
b,28,10.415,y,p,aa,v,0.125,t,f,0,f,g,39,375,1
b,67,2.25,u,g,i,v,0.125,f,f,0,f,g,54,10,1
b,73,0.165,u,g,c,j,2.25,f,f,0,t,s,2,0,2
a,103,0,'?','?','?','?',0,f,f,0,f,p,?,0,2
b,33,0,u,g,q,v,0.665,f,f,0,f,g,54,1,1
b,60,0.79,y,p,cc,v,0.665,f,f,0,f,g,54,0,1
b,85,12,u,g,c,v,2.085,f,f,0,f,s,25,0,1
b,65,7.835,y,p,i,bb,0.165,f,f,0,t,g,?,0,1
b,206,2.54,u,g,ff,ff,0,f,f,0,f,g,2,1000,1
b,140,13,u,g,d,h,0.5,f,f,0,f,g,81,0,1
a,40,0.665,u,g,w,v,1.665,f,f,0,f,g,77,5,1
a,76,1.25,u,g,q,v,0.25,f,f,0,t,g,39,809,1
a,121,0.29,u,g,m,h,0.125,f,t,1,t,g,95,108,1
a,227,1.5,u,g,ff,ff,0,f,f,0,f,g,24,0,1
b,174,2.165,y,p,k,ff,0,f,f,0,f,g,39,0,1
a,85,0.71,u,g,w,v,0.25,f,t,1,t,g,86,4,1
b,25,2.46,u,g,c,n,0.96,f,t,2,t,g,54,587,1
b,244,0.5,y,p,m,v,0.5,f,f,0,t,g,43,0,1
b,39,9.585,u,g,aa,v,0.79,f,f,0,f,g,25,350,1
b,135,3.625,u,g,aa,v,0.25,f,f,0,t,g,33,0,1
b,203,0.75,u,g,k,v,1.5,f,f,0,t,g,83,0,1
b,190,2.75,u,g,i,bb,2.5,f,f,0,t,g,84,200,1
'?',181,2.25,y,p,cc,v,3.5,f,f,0,t,g,69,141,1
b,164,0.75,y,p,aa,v,3.5,f,f,0,t,g,107,0,1
a,307,7,u,g,aa,h,3,f,f,0,f,g,2,0,1
b,207,0.42,y,p,w,v,0.29,f,f,0,t,g,104,2,1
b,216,2.665,u,g,cc,v,0.165,f,f,0,t,g,2,501,1
a,52,8.5,u,g,c,v,0.165,f,f,0,f,g,2,351,1
b,87,9,u,g,aa,v,0.25,f,f,0,t,g,2,0,1
b,103,0.335,u,g,k,h,3.5,f,f,0,t,g,111,0,1
a,200,3.75,u,g,ff,ff,0,f,t,6,f,g,2,200,1
b,284,3.75,u,g,i,bb,1,f,f,0,f,g,33,2,1
a,5,7.625,u,g,q,v,0.125,f,t,1,t,g,2,160,1
a,71,0.415,u,g,i,v,0.335,f,f,0,t,s,48,0,1
b,59,11.5,u,g,i,v,0.5,t,f,0,t,g,33,68,1
a,84,0.83,u,g,q,v,0.415,f,t,1,t,g,69,11,1
a,54,5,y,p,ff,ff,0,f,f,0,f,g,2,0,1
b,104,3.25,u,g,c,h,2.29,f,t,1,t,g,135,21,1
a,228,1.665,u,g,aa,v,0.25,f,f,0,f,g,2,390,1
a,4,0.375,u,g,c,v,1,f,f,0,f,g,39,18,1
a,135,3.75,u,g,c,v,0.25,f,t,1,t,g,12,154,1
b,68,9,u,g,aa,v,0.085,f,f,0,f,g,2,0,1
b,146,3.5,u,g,c,v,0.165,f,f,0,f,g,76,0,1
a,83,1.5,u,g,w,v,0.875,f,f,0,t,g,54,0,1
b,170,4,y,p,cc,v,1.5,f,f,0,t,g,39,0,1
b,160,1.5,y,p,w,v,0.04,f,f,0,f,s,54,0,1
b,167,0.04,y,p,m,v,0.04,f,f,0,f,g,2,0,1
a,62,11.75,u,g,c,v,0.25,f,f,0,t,g,64,0,1
a,22,0.54,u,g,c,v,1.75,f,t,1,t,g,25,5,1
b,152,0.5,u,g,d,h,0.085,f,f,0,t,s,88,0,1
b,302,2.04,y,p,ff,ff,1.5,f,f,0,f,g,39,1,1
b,277,5.835,u,g,w,v,5.5,f,f,0,f,g,147,150,1
b,106,12.835,u,g,cc,v,0.5,f,f,0,f,g,2,2,1
a,297,0.835,u,g,aa,v,0.5,f,f,0,t,g,86,117,1
'?',142,2,y,p,e,h,2,f,f,0,f,g,91,17,1
a,216,2.5,u,g,i,h,0.21,f,f,0,f,g,92,246,1
a,250,1.04,u,g,aa,v,0.665,f,f,0,f,g,86,237,1
a,155,10.665,u,g,q,h,0.085,f,t,12,t,g,42,3,1
b,38,7.25,u,g,m,v,0.04,f,t,1,f,g,33,1,1
a,22,10.21,u,g,ff,ff,0,f,f,0,f,g,2,50,1
a,44,1.25,u,g,c,v,0,f,f,0,f,g,2,0,1
b,39,0.29,u,g,k,v,0.29,f,f,0,f,g,98,364,1
b,127,1,y,p,d,h,3,f,f,0,f,g,62,537,1
b,14,3.29,u,g,i,v,0.335,f,f,0,t,g,46,2,1
b,210,0.75,y,p,d,v,0.585,f,f,0,f,g,86,3,1
b,242,3.29,u,g,m,v,3.5,f,f,0,t,s,131,0,1
b,54,10.085,y,p,e,h,1.25,f,f,0,f,g,92,0,1
a,73,0.75,u,g,c,v,2,f,t,2,t,g,69,394,1
a,99,13.5,y,p,ff,ff,2,f,t,1,t,g,69,1,1
b,22,0.205,u,g,aa,v,0.04,f,f,0,f,g,98,750,1
b,199,3.375,u,g,c,h,8.29,f,f,0,t,g,2,0,1
