@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute Class {1,2,3,4}

@data
1.309,1.846,1.842,1.861,3.182,4.376,4.569,5,5,5,1.65,1.566,0.953,0.925,0.676,0.522,0.505,0.512,0.599,0.558,1.049,1.295,1.276,1.281,2
1.319,1.863,1.855,1.871,3.188,5,4.56,5,5,5,1.636,1.557,1.27,0.911,0.651,0.521,0.5,0.515,0.531,5,1.058,1.316,1.29,1.295,2
1.314,5,1.861,1.874,3.196,4.361,5,5,5,5,1.63,1.554,1.289,0.904,0.693,0.535,0.497,0.498,0.513,0.542,1.049,1.468,1.297,1.301,2
1.311,5,1.861,1.872,3.195,3.194,5,3.911,5,5,1.636,1.732,1.555,0.904,0.712,0.549,0.496,0.496,0.51,0.68,1.043,1.466,1.299,1.298,2
1.304,5,1.859,1.87,3.195,3.194,5,3.934,5,5,1.642,1.692,1.557,0.91,5,0.58,0.499,0.495,0.508,0.675,1.041,1.328,1.303,1.295,1
1.303,5,1.859,1.869,3.198,3.195,5,3.907,5,5,1.643,1.682,1.557,0.907,5,0.586,0.499,0.495,0.508,0.674,1.037,1.328,1.309,1.294,1
1.304,5,1.859,1.869,3.195,3.195,5,3.912,5,5,1.642,1.676,1.553,0.906,5,0.579,0.499,0.494,0.508,0.675,1.038,1.326,1.307,1.295,4
1.308,5,1.857,1.87,3.196,3.195,5,3.937,5,5,1.645,1.681,1.556,0.905,5,0.574,0.498,0.494,0.507,0.678,1.038,1.326,1.301,1.292,4
1.306,5,1.858,1.871,3.199,3.198,5,3.906,5,5,1.644,1.676,1.558,0.904,5,0.57,0.497,0.493,0.506,0.675,1.039,1.324,1.302,1.297,4
1.309,5,1.864,1.874,3.2,3.197,5,4.554,5,5,1.666,1.67,1.557,0.9,5,0.564,0.495,0.491,0.504,0.679,1.044,1.467,1.309,1.297,2
1.314,1.89,1.865,1.879,3.223,3.201,5,4.547,5,5,1.667,1.668,1.539,0.895,0.772,0.566,0.493,0.488,0.501,0.65,1.047,1.339,1.308,1.302,2
1.321,1.355,1.384,1.884,3.204,3.2,5,3.929,5,5,1.655,1.655,1.532,0.892,0.766,0.579,0.491,0.486,0.499,0.648,1.031,1.476,1.314,1.309,2
1.328,1.355,1.877,1.888,3.222,3.205,5,3.899,5,5,1.647,1.647,1.52,0.885,5,0.571,0.489,0.484,0.497,0.619,1.033,1.344,1.322,1.316,2
1.335,1.359,1.885,1.897,3.233,3.205,5,3.949,5,5,1.64,1.64,1.512,0.878,0.887,0.566,0.487,0.482,0.494,0.655,1.037,1.352,1.329,1.324,2
1.342,1.365,1.894,1.906,3.243,3.207,5,3.892,5,5,1.633,1.63,1.501,0.881,0.874,0.575,0.485,0.48,0.489,0.613,1.042,1.094,1.336,1.331,2
1.344,1.366,1.417,5,3.255,3.208,5,3.891,5,5,1.628,1.603,1.495,1.584,0.866,0.585,0.484,0.478,0.487,0.613,1.055,1.094,1.342,1.336,2
1.345,1.37,1.414,5,3.257,3.21,5,3.892,5,5,1.627,1.601,1.493,1.584,0.863,0.513,0.483,0.477,0.485,0.606,0.549,1.094,1.344,1.338,2
1.346,1.378,1.398,5,3.245,3.21,5,3.893,5,5,1.631,1.599,1.494,1.585,0.86,0.51,0.482,0.476,0.483,0.601,0.544,1.095,1.343,1.336,2
1.342,1.373,1.901,5,3.242,3.211,5,3.894,5,5,1.635,1.6,1.495,1.589,0.86,0.509,0.481,0.475,0.483,0.523,0.87,1.373,1.342,1.336,2
1.345,1.367,1.902,5,1.796,3.211,5,3.894,5,5,1.638,1.596,1.494,1.21,0.859,0.512,0.48,0.474,0.481,0.597,0.871,1.091,1.343,1.336,2
1.346,1.367,1.903,5,1.793,3.209,5,3.894,5,5,1.641,1.595,1.493,1.209,0.857,0.521,0.48,0.473,0.48,0.507,0.871,1.088,1.343,1.337,2
1.346,1.367,1.904,5,1.813,3.209,5,3.897,5,5,1.643,1.594,1.493,1.205,0.856,0.592,0.479,0.472,0.479,0.505,0.871,1.088,1.344,1.337,2
1.346,1.374,1.906,1.927,1.798,3.21,5,4.53,5,5,5,1.59,1.495,1.204,0.855,0.598,0.479,0.472,0.478,0.501,0.535,1.087,1.348,1.338,2
1.362,1.557,1.907,1.911,1.755,3.212,3.228,3.902,5,5,5,1.59,1.495,1.203,0.852,0.597,0.479,0.471,0.477,0.499,0.529,1.083,1.352,1.338,2
1.353,1.379,1.908,1.911,3.226,3.213,3.222,4.528,5,5,5,1.587,1.498,1.203,0.851,0.525,0.479,0.471,0.479,0.497,0.52,1.079,1.353,1.338,2
1.346,1.565,1.909,1.909,3.262,3.217,3.226,3.934,5,5,1.634,1.587,1.632,1.646,0.848,0.532,0.482,0.469,0.479,0.545,0.513,1.078,1.353,1.338,2
1.343,1.432,1.914,1.909,5,3.22,3.222,3.912,5,5,1.636,1.588,1.639,1.651,0.85,0.529,0.481,0.468,0.47,0.519,0.508,1.077,1.371,1.341,2
1.338,1.537,1.921,1.91,1.925,3.222,3.223,3.244,5,5,1.641,1.589,1.632,1.654,0.846,0.736,0.49,0.466,0.467,0.514,0.507,1.041,1.363,1.339,2
1.337,1.356,1.926,1.91,1.925,3.225,3.224,4.534,5,5,1.645,1.59,1.633,1.724,0.848,0.724,0.528,0.465,0.464,0.48,0.502,1.039,1.395,1.339,2
1.336,1.348,1.935,1.414,1.922,1.954,3.225,5,5,5,5,1.594,1.63,1.58,0.851,0.716,0.543,0.467,0.461,0.473,0.495,1.045,1.36,1.339,2
1.335,1.346,1.642,1.415,1.925,1.947,3.226,3.992,4.537,5,5,1.63,1.627,1.576,0.85,0.87,0.536,0.465,0.459,0.471,0.656,1.083,1.086,1.345,2
1.335,1.346,1.372,1.914,1.935,3.237,3.227,3.239,3.917,5,5,1.599,1.606,1.572,0.853,0.85,0.541,0.463,0.457,0.465,0.598,5,1.368,1.358,2
1.335,1.347,1.582,1.915,1.932,1.826,3.229,3.24,3.915,5,5,1.631,1.603,1.493,1.575,0.788,0.503,0.462,0.455,0.462,0.58,5,1.075,1.345,4
1.335,1.353,1.566,1.917,1.932,1.768,3.231,5,3.917,5,5,1.635,1.599,1.492,1.664,0.787,0.575,0.461,0.453,0.462,0.564,1.416,1.067,1.345,4
1.335,1.349,1.57,1.922,1.959,1.815,3.234,5,4.533,3.933,5,1.635,1.595,1.59,1.2,0.844,0.571,0.46,0.451,0.462,0.477,0.5,1.065,1.347,4
1.333,1.341,1.54,1.926,1.923,1.836,3.236,4.353,3.93,3.928,5,1.636,1.592,1.632,1.199,0.842,0.496,0.458,0.449,0.454,0.473,0.495,1.03,1.354,4
1.334,1.341,1.544,1.928,1.924,1.781,3.241,5,3.93,3.923,5,1.635,1.591,1.631,1.197,0.841,0.493,0.458,0.448,0.449,0.483,0.492,1.026,1.36,4
1.335,1.343,1.552,1.93,1.925,1.779,3.242,3.26,3.93,3.922,5,1.634,1.59,1.629,1.196,0.834,0.49,0.458,0.448,0.448,0.482,0.493,1.003,1.372,4
1.336,1.343,1.549,1.933,1.925,1.779,3.242,4.351,3.926,3.922,5,1.633,1.589,1.629,1.195,0.831,0.491,0.461,0.448,0.448,0.465,0.494,1.004,1.36,4
1.336,1.343,1.374,1.929,1.925,1.776,3.241,4.347,3.923,3.925,5,1.633,1.589,1.628,1.195,0.834,0.494,0.462,0.448,0.449,0.466,0.495,0.979,1.369,4
1.336,1.344,1.371,1.929,1.925,1.782,3.241,4.348,3.925,3.925,5,1.633,1.589,1.628,1.196,0.834,0.494,0.459,0.448,0.449,0.49,0.495,1.004,1.365,4
1.336,1.344,1.372,1.929,1.925,1.782,3.241,4.345,3.925,3.924,5,1.633,1.588,1.628,1.195,0.834,0.491,0.461,0.448,0.449,0.483,0.492,0.976,1.37,4
1.337,1.344,1.366,1.93,1.925,1.776,3.241,4.348,3.931,3.924,5,1.632,1.588,1.627,1.195,0.836,0.493,0.458,0.448,0.449,0.466,0.495,1.004,1.369,4
1.337,1.345,1.547,1.93,1.926,1.779,3.241,4.344,3.924,3.921,5,1.632,1.588,1.627,1.194,0.833,0.491,0.462,0.448,0.449,0.466,0.498,1.032,1.367,4
1.339,1.346,1.371,1.93,1.926,1.776,3.241,4.343,3.927,3.92,5,1.63,1.586,1.628,1.193,0.832,0.494,0.459,0.449,0.449,0.467,0.495,1.006,1.375,4
1.341,1.349,1.373,1.931,1.928,1.78,3.241,4.345,3.922,3.918,5,1.628,1.584,1.626,1.191,0.83,0.492,0.463,0.449,0.449,0.467,5,0.98,1.378,4
1.346,1.353,1.377,1.94,1.93,1.78,3.24,3.279,3.922,3.915,5,1.624,1.58,1.619,1.191,0.825,0.493,0.463,0.45,0.45,0.477,0.502,0.981,1.37,4
1.351,1.355,1.386,5,1.933,1.781,3.239,3.25,3.918,3.911,5,1.618,1.577,1.613,1.19,0.827,0.494,0.465,0.451,0.451,0.478,5,0.986,1.375,4
1.358,1.362,1.388,1.964,1.936,5,3.238,3.239,5,3.906,5,1.612,1.57,1.609,1.572,0.823,0.496,0.467,0.453,0.453,0.469,5,0.992,1.385,4
1.366,1.372,1.398,1.975,1.943,1.839,3.237,3.238,5,3.901,5,1.605,1.562,1.599,1.206,0.818,0.498,0.468,0.454,0.454,0.477,5,0.999,1.4,4
1.373,1.379,1.402,1.973,1.944,1.84,3.236,3.236,5,3.91,5,1.6,1.558,1.594,1.769,0.813,0.5,0.47,0.459,0.455,0.478,5,1.006,1.402,4
1.382,1.385,1.404,5,1.948,1.845,3.235,3.235,5,5,5,1.592,1.549,1.582,1.672,0.811,0.503,0.476,0.461,0.456,0.469,5,0.897,1.412,4
1.395,1.394,1.412,5,1.953,1.847,3.237,3.233,5,5,5,1.587,1.54,1.572,1.601,0.806,0.505,0.532,0.476,0.457,0.47,5,0.902,1.424,4
1.401,1.403,1.415,1.455,1.472,1.974,3.245,3.228,5,4.501,5,5,1.534,1.56,1.575,1.525,0.509,0.494,0.467,0.459,0.471,1.485,0.91,1.142,4
1.414,1.413,1.424,1.457,1.477,1.979,3.267,3.226,5,3.869,5,1.569,1.553,1.553,1.571,1.142,0.515,0.497,0.469,0.461,0.473,0.622,0.919,1.149,4
1.421,1.421,1.435,1.463,1.485,1.98,3.268,3.223,5,3.859,5,5,1.543,1.54,1.557,5,0.787,0.487,0.471,0.463,0.475,0.628,0.931,1.158,4
1.434,1.431,1.446,1.472,1.495,1.984,3.271,3.221,5,3.852,5,5,1.533,1.53,1.504,1.584,0.779,0.49,0.474,0.466,0.474,0.642,0.94,1.164,4
1.447,1.44,1.451,1.474,1.503,1.989,3.28,3.218,5,3.845,5,5,1.524,1.52,1.493,1.481,0.773,0.493,0.477,0.468,0.477,0.657,0.949,1.179,4
1.458,1.45,1.461,1.484,1.513,2.002,3.269,3.216,5,3.837,5,2.186,1.513,1.509,1.476,0.796,0.768,0.496,0.48,0.471,0.479,0.675,0.976,1.183,4
1.466,1.46,1.47,1.493,1.523,5,3.281,3.213,5,3.829,5,5,1.503,1.499,1.467,0.778,0.755,0.499,0.483,0.474,0.481,0.655,0.986,1.193,4
1.476,1.47,1.48,1.509,1.99,5,5,3.21,5,3.822,5,5,1.496,1.488,1.504,0.777,0.744,0.503,0.483,0.476,0.484,5,1.524,1.202,4
1.485,1.48,1.49,1.518,1.995,5,5,3.207,5,3.815,5,5,1.486,1.478,1.463,0.77,0.752,0.509,0.486,0.479,0.486,1.575,1.655,1.211,4
1.495,1.489,1.502,1.53,1.557,5,5,3.205,5,3.808,5,5,1.48,1.468,1.481,0.77,0.741,0.526,0.489,0.482,0.489,5,1.554,1.217,4
1.505,1.498,1.517,2.02,1.556,5,5,3.202,5,3.8,5,5,1.47,1.459,1.471,1.066,0.737,0.52,0.492,0.485,0.491,0.597,0.795,1.227,4
1.515,1.508,1.53,2.028,1.568,5,3.222,3.199,5,3.793,5,5,5,1.424,1.426,1.057,0.743,0.536,0.496,0.488,0.497,5,0.801,1.237,4
0.614,1.518,1.562,1.796,2.015,5,3.215,3.196,5,3.785,5,5,5,1.414,1.45,1.051,0.74,0.537,0.502,0.491,0.497,0.635,0.817,1.247,4
0.613,1.528,1.56,1.803,2.019,5,3.219,3.193,5,3.78,5,5,5,1.428,1.439,1.048,0.737,0.541,0.506,0.494,0.503,0.582,0.829,0.599,4
0.612,1.538,1.553,1.814,2.023,5,3.21,3.19,5,3.77,5,5,1.447,1.418,1.429,1.042,0.736,0.548,0.509,0.498,0.503,0.589,0.572,0.595,1
0.615,1.548,1.566,1.817,2.027,2.035,5,3.187,5,3.765,5,5,1.431,1.38,1.418,1.037,0.734,0.577,0.514,0.502,0.507,0.596,0.568,0.591,1
0.613,1.557,1.565,1.824,2.035,2.038,5,3.184,5,3.757,5,5,1.422,1.37,1.412,1.038,0.743,0.658,0.517,0.505,0.514,0.644,0.567,0.593,1
0.616,1.567,1.572,1.62,1.625,2.036,5,3.18,5,3.75,5,5,1.412,1.36,1.398,1.049,1.026,0.565,0.522,0.509,0.517,0.614,0.567,0.592,1
0.62,1.577,1.585,1.614,2.039,2.042,1.806,3.176,5,4.424,5,5,1.412,1.347,1.388,1.407,1.011,0.566,0.529,0.513,0.521,5,0.568,0.597,1
0.625,1.589,1.6,1.847,2.045,2.043,1.805,3.171,5,3.761,5,5,5,1.338,1.379,1.033,1.004,0.571,0.534,0.519,0.527,5,0.576,0.611,1
0.631,1.602,1.61,1.651,2.05,2.049,1.862,3.163,5,3.75,3.816,5,5,1.325,1.365,1.037,0.723,0.581,0.541,0.525,0.533,5,0.582,0.607,1
0.637,1.616,1.62,1.664,2.054,2.053,1.798,3.159,5,3.74,5,5,5,1.31,1.443,1.004,0.721,0.585,0.548,0.532,0.54,0.655,0.585,0.614,1
0.644,1.631,1.635,1.682,2.058,2.055,1.797,3.152,5,3.695,5,5,5,1.295,1.428,0.994,0.723,0.589,0.559,0.54,0.55,5,0.602,0.621,1
0.651,1.647,1.658,1.698,2.063,2.062,1.845,3.145,5,3.681,5,5,5,1.279,1.414,1.437,0.971,0.608,0.567,0.548,0.561,0.614,0.612,0.627,1
0.659,1.662,1.667,1.682,1.734,2.073,1.841,3.137,5,3.667,5,5,1.971,1.297,1.428,0.981,0.964,0.613,0.576,0.556,0.582,0.717,0.878,0.635,1
0.667,1.682,1.683,1.705,1.744,2.074,1.847,3.129,5,3.648,5,5,5,1.284,1.415,0.971,0.957,0.619,0.584,0.564,0.58,0.616,0.628,0.647,1
0.676,1.696,1.7,1.719,1.754,1.787,5,3.12,5,3.632,5,5,5,1.27,1.399,0.968,0.95,0.634,0.593,0.574,0.588,0.677,5,0.655,1
0.684,1.712,1.717,1.732,1.777,1.798,3.229,3.112,5,3.62,5,5,5,1.257,1.39,1.38,0.943,0.64,0.602,0.582,0.598,0.685,0.649,0.664,1
0.693,1.73,1.734,1.753,2.093,2.102,5,3.104,5,3.601,5,5,5,1.896,1.374,0.961,0.94,0.695,0.612,0.591,0.603,0.694,5,0.673,1
0.702,1.75,1.751,1.773,5,5,5,3.095,5,3.585,5,5,5,1.888,1.364,1.353,0.933,0.661,0.621,0.601,0.612,0.655,5,0.687,1
0.71,1.768,1.769,1.784,5,1.848,5,3.087,5,3.572,5,5,5,5,1.351,1.34,0.926,1.393,0.63,0.61,0.617,0.64,0.915,0.693,1
0.719,1.785,1.787,1.808,2.799,5,5,3.078,5,3.552,5,5,5,5,1.341,1.327,0.923,0.715,0.639,0.619,0.63,0.659,0.825,0.705,1
0.728,1.801,1.805,1.82,2.809,5,5,3.07,5,3.536,5,5,1.809,5,1.329,1.314,0.928,0.925,0.648,0.628,0.632,0.655,0.703,0.714,1
0.737,1.821,1.822,5,2.822,1.877,4.382,3.061,5,3.522,5,5,5,1.591,1.319,1.298,0.916,0.916,0.658,0.638,0.642,0.664,0.857,0.723,1
0.746,1.839,1.841,1.859,2.835,1.874,5,3.051,5,3.505,5,5,1.762,1.572,1.31,1.285,1.271,0.907,0.667,0.647,0.651,0.676,0.878,1.432,1
0.756,1.858,1.859,1.881,2.849,1.875,5,3.042,5,3.485,5,5,1.748,1.555,1.301,1.276,1.269,0.711,0.677,0.657,0.661,5,5,1.62,1
0.765,1.876,1.877,1.896,2.862,1.876,3.18,3.033,5,3.469,5,5,1.73,1.546,1.292,1.264,1.255,0.893,0.686,0.666,0.67,0.699,0.939,1.469,1
0.777,1.894,1.895,5,2.875,5,3.176,3.024,5,3.452,5,5,1.704,1.511,1.714,1.255,1.245,0.891,0.696,0.676,0.68,0.709,5,1.661,1
0.787,1.912,1.913,1.941,2.888,1.85,3.173,3.015,5,3.435,3.108,5,1.687,1.495,5,1.243,1.238,0.743,0.706,0.685,0.69,0.735,5,1.483,1
0.797,1.93,1.931,5,2.901,1.852,3.173,3.006,5,3.419,5,5,5,1.476,5,1.229,0.887,0.878,0.718,0.698,0.706,0.718,0.984,1.557,1
0.806,1.948,1.95,5,2.913,1.85,3.165,2.996,5,3.399,5,5,1.649,1.451,5,1.22,0.88,0.872,0.722,0.705,0.709,0.738,5,1.421,1
0.816,1.966,1.968,5,2.927,1.852,3.162,2.987,5,3.382,5,5,1.628,1.434,1.672,1.206,0.878,0.868,0.734,0.715,0.719,0.768,5,1.537,1
0.826,1.984,1.989,5,2.939,1.855,3.159,2.978,5,3.366,5,5,1.605,1.419,5,1.198,0.881,0.865,0.741,0.724,0.729,0.763,2.948,1.557,1
0.835,2.002,2.006,5,2.955,1.853,4.082,2.969,5,3.35,5,5,1.579,1.401,0.94,1.19,0.886,0.863,0.75,0.727,0.741,0.763,1.754,1.579,1
0.845,2.019,2.027,5,2.964,1.856,3.159,2.96,5,3.334,5,5,1.562,1.383,0.917,1.177,1.003,0.796,0.76,0.73,0.751,0.78,5,1.596,1
0.854,2.036,2.13,5,2.98,1.858,3.16,2.951,5,3.318,5,5,1.557,1.362,0.897,1.167,0.985,0.805,0.749,0.736,0.76,0.793,1.795,1.555,2
0.867,2.053,2.071,5,5,1.925,4.112,2.942,5,3.299,5,5,5,1.344,0.878,1.157,0.98,0.864,0.756,0.743,0.793,0.802,5,1.676,2
0.873,2.071,2.086,5,5,1.925,4.108,2.933,2.512,3.284,5,5,5,1.326,0.862,1.15,0.969,0.863,0.761,0.75,0.792,0.869,5,1.598,2
0.886,2.088,2.127,5,5,1.931,4.113,2.924,2.5,3.268,2.22,5,1.488,1.305,0.846,1.144,0.958,0.862,0.772,0.757,0.774,5,5,1.565,2
1.903,2.105,2.15,5,5,2.021,4.117,2.916,2.485,3.253,2.931,5,5,1.288,0.831,1.135,0.951,0.875,0.777,0.765,0.777,0.829,5,1.696,2
0.906,2.121,2.178,5,5,2.02,4.122,2.908,2.474,3.239,2.911,5,5,1.275,0.816,1.126,0.945,0.869,0.788,0.769,0.781,0.902,5,1.917,2
0.909,2.138,2.188,5,5,2.026,3.149,2.901,2.474,3.227,2.895,1.293,1.275,1.26,0.804,1.119,0.943,0.872,0.795,0.779,0.79,5,5,1.936,2
0.908,2.147,2.187,5,3.057,2.025,4.13,2.898,2.46,3.224,2.158,1.286,1.273,1.251,0.795,1.114,0.952,1.12,0.863,0.783,0.812,0.833,5,1.946,2
0.904,2.149,2.153,5,3.054,2.03,5,2.9,2.904,2.921,2.158,1.286,1.27,1.25,0.794,1.116,1.105,1.127,0.861,0.782,0.81,0.831,5,1.966,2
0.901,2.148,2.151,5,5,1.97,5,2.902,2.906,2.919,2.164,5,1.419,1.253,0.799,1.123,1.106,1.123,0.856,0.78,0.808,0.821,5,0.884,2
0.9,2.147,2.151,5,3.062,1.946,5,2.903,2.906,2.92,2.165,5,1.417,1.256,0.799,1.12,1.106,1.127,0.856,0.78,0.807,0.821,3.056,0.881,2
0.902,2.147,2.147,5,5,1.892,5,2.903,2.903,2.92,2.165,5,1.417,1.253,0.799,1.127,1.106,1.123,0.856,0.783,0.803,0.82,0.873,0.882,2
1.938,2.153,2.15,5,3.058,1.889,5,2.904,2.904,3.236,3.977,3.971,1.417,1.257,0.799,1.919,1.105,1.116,0.855,0.782,0.792,0.819,0.875,0.878,2
1.938,2.17,2.167,5,5,1.892,5,2.904,2.904,2.92,3.983,5,1.417,1.257,0.803,1.579,1.105,1.116,0.855,0.786,0.792,0.818,0.878,0.874,2
1.938,2.218,2.15,5,5,1.893,5,2.905,2.905,2.92,3.29,3.971,1.417,1.257,1.618,1.58,1.104,1.115,0.854,0.785,0.788,0.814,0.843,0.872,1
1.938,5,2.149,5,3.058,1.893,5,2.906,2.905,5,3.29,3.968,1.417,1.257,1.615,1.573,1.104,1.115,0.854,0.788,0.784,0.814,0.839,0.868,1
1.934,2.21,2.146,2.179,5,1.891,5,2.91,2.906,2.92,5,3.968,1.417,1.264,1.611,1.576,1.103,1.11,0.853,0.811,0.78,0.812,0.837,0.866,1
1.935,2.208,2.147,5,3.055,1.896,5,2.917,2.906,3.287,5,3.968,1.416,1.273,1.61,1.121,1.105,1.109,0.852,0.807,0.779,0.811,0.832,0.864,1
1.936,2.213,2.148,5,3.066,5,5,2.958,2.905,3.251,5,3.974,1.415,5,1.612,1.117,1.107,1.109,0.852,0.812,0.78,0.812,0.833,0.865,1
1.94,2.216,2.152,2.188,3.058,5,5,2.915,2.903,2.477,5,3.968,1.412,1.275,1.606,1.116,1.106,1.107,0.852,0.817,0.781,0.814,0.838,0.87,1
1.95,2.222,2.157,2.187,5,5,5,2.96,2.899,3.232,5,5,1.405,1.273,1.604,1.114,1.087,1.105,0.853,0.82,0.782,0.818,0.842,0.871,1
1.958,2.237,2.164,2.197,5,1.894,5,2.906,2.895,3.267,5,3.957,1.4,5,1.596,1.108,1.084,1.102,0.857,0.828,0.786,0.819,0.846,0.872,1
1.74,2.243,2.173,5,5,1.896,3.962,2.907,2.889,2.9,5,5,1.389,5,1.59,1.105,1.079,0.926,0.855,0.802,0.791,0.827,0.848,0.88,1
1.979,2.268,2.185,2.307,3.086,1.897,3.949,2.942,2.882,2.946,5,3.945,1.373,5,1.223,0.774,1.078,0.92,1.11,0.806,0.795,0.817,0.859,0.884,1
1.993,2.269,2.197,2.223,5,1.899,3.949,2.893,2.874,3.202,5,3.95,1.362,5,3.622,1.102,1.08,0.917,1.099,0.814,0.802,0.821,0.863,0.895,1
1.863,2.288,2.214,2.237,3.108,1.901,3.951,2.937,2.865,2.886,2.104,5,1.346,5,1.19,0.742,1.027,0.911,1.093,0.827,0.811,0.826,0.872,0.901,1
2.03,3.052,2.229,2.246,5,1.903,3.928,2.931,2.856,2.87,2.084,3.928,1.329,5,1.172,0.73,1.075,0.908,0.987,0.837,0.821,0.836,0.885,0.91,1
1.865,2.32,2.252,2.261,5,1.906,5,2.86,2.846,2.86,2.07,5,1.311,5,1.156,0.714,1.069,0.905,0.993,0.85,0.832,0.847,0.901,0.92,1
1.876,2.341,2.268,2.277,5,1.908,5,4.16,2.835,2.853,2.05,3.903,1.293,5,1.137,0.702,1.065,0.9,1.013,0.868,0.842,0.857,5,0.937,1
1.898,2.355,2.284,2.293,5,1.914,5,4.168,2.288,2.836,2.032,5,1.271,5,1.122,0.69,1.06,0.901,1.008,0.875,0.856,0.868,0.891,5,1
1.921,2.38,2.297,2.309,5,1.917,3.881,4.173,2.416,3.111,2.011,3.89,5,5,1.106,0.678,1.056,0.9,1.015,1.001,0.867,0.878,5,5,1
1.933,2.327,2.313,2.325,5,3.878,3.89,4.178,2.808,3.095,1.992,3.858,5,1.119,1.086,0.666,1.052,0.899,1.03,0.926,0.878,0.893,5,5,1
2.144,2.338,2.327,2.342,5,3.869,3.884,4.184,2.394,3.074,1.973,3.869,1.437,5,1.07,0.653,1.048,0.904,1.058,0.904,0.89,0.904,5,5,3
1.978,2.356,2.348,2.363,5,1.967,5,4.196,2.379,2.795,1.95,3.862,1.42,5,1.052,0.645,1.045,0.904,1.067,0.921,0.902,0.916,1.279,1.554,3
1.998,2.373,2.365,2.378,5,3.854,4.208,4.198,2.372,2.781,1.938,3.829,1.185,5,1.036,0.634,1.044,0.908,1.085,0.91,0.914,0.932,5,1.574,3
2.02,2.385,2.38,2.399,5,3.845,4.206,2.768,2.35,2.778,1.915,3.818,5,5,1.018,0.626,1.042,0.908,0.908,0.918,0.926,0.944,5,1.602,3
2.228,2.402,2.402,2.417,5,3.809,4.21,2.753,2.347,2.989,1.891,3.846,1.133,5,1.001,1.013,1.039,1.029,0.906,0.926,0.939,0.961,5,1.627,3
2.249,2.42,2.419,2.436,5,3.796,4.215,2.783,3.437,2.968,1.867,5,1.106,1.013,0.983,0.996,1.037,1.026,0.91,0.938,0.952,4.216,5,1.631,3
2.272,2.437,2.437,2.457,5,3.793,4.217,2.735,2.725,2.737,1.845,3.791,1.092,0.979,0.967,0.983,1.039,1.025,1.043,0.946,0.964,0.989,1.302,1.661,3
2.295,2.451,2.453,2.477,5,3.777,4.223,2.711,2.711,2.727,1.827,5,1.009,0.959,0.954,0.967,1.038,1.003,1.038,0.988,0.975,4.223,5,5,3
2.315,2.47,2.47,2.498,5,3.762,4.233,2.276,2.701,2.714,1.812,3.77,0.988,0.939,0.938,0.952,1.042,0.995,0.911,0.992,0.986,4.233,1.391,1.782,3
2.331,2.486,2.487,5,5,3.757,4.242,2.154,2.693,2.707,1.794,5,0.979,0.923,0.922,0.939,1.041,0.941,0.909,1.052,1,4.238,5,1.815,3
2.349,2.501,2.506,5,5,3.752,4.242,2.679,2.684,2.697,1.778,3.754,0.931,0.907,0.907,0.925,1.043,0.98,0.911,0.981,1.016,4.25,5,2.356,3
2.367,2.516,2.528,5,5,3.744,4.247,2.142,2.701,2.699,1.765,3.757,0.909,0.892,0.893,1.95,1.038,0.963,0.912,0.986,1.072,5,1.392,2.37,2
2.396,2.529,2.575,5,1.988,3.737,2.281,2.661,3.286,2.859,3.74,0.92,0.894,0.878,0.879,1.551,1.037,0.951,0.914,0.996,1.035,5,1.575,2.393,2
2.553,2.542,5,5,1.997,3.73,2.678,2.126,2.667,2.865,3.743,0.899,0.877,0.861,0.897,1.53,1.036,0.946,0.919,0.999,1.065,4.263,1.408,2.404,2
2.565,2.554,5,5,5,3.724,2.259,2.641,2.663,2.853,5,0.886,0.861,0.849,0.873,1.051,1.04,0.987,0.918,1.006,1.065,4.271,1.567,2.415,2
2.576,2.566,5,5,3.723,5,2.254,2.634,2.839,2.833,3.72,0.87,0.85,0.837,0.852,0.866,1.029,0.989,0.92,1.012,1.077,5,1.622,2.428,2
2.586,2.576,5,5,3.715,3.728,2.65,2.629,2.834,2.822,3.716,0.86,0.839,0.827,0.839,0.857,0.879,0.991,0.922,1.016,1.427,5,1.626,2.438,2
2.588,2.578,2.637,5,5,3.717,2.249,2.629,2.833,2.821,3.717,0.858,0.837,0.825,0.836,0.856,0.533,0.987,0.921,1.02,1.429,5,1.635,2.29,2
2.587,2.577,5,5,5,3.715,2.26,2.631,3.309,2.661,5,0.865,0.843,0.827,0.854,0.88,0.516,0.937,0.916,1.145,1.376,5,5,2.449,2
2.586,2.575,2.614,5,5,3.716,2.144,2.636,2.885,2.663,5,0.867,0.845,0.829,0.837,0.884,0.513,0.917,0.914,1.147,1.458,5,1.477,5,2
2.447,2.575,2.633,5,1.99,3.717,2.117,2.637,3.257,2.839,5,0.871,0.845,0.829,0.834,1.522,0.513,0.916,0.914,1.15,1.37,5,1.473,2.038,2
